phase_2,phase_4
0.0,0.7706026
4.6e-6,0.770632
1.04e-5,0.770653
1.44e-5,0.7706808
2.04e-5,0.7707048
2.4e-5,0.7707304
3.0e-5,0.77076
3.2e-5,0.770784
3.82e-5,0.77081
4.18e-5,0.7708356
4.62e-5,0.770864
4.88e-5,0.7708898
5.36e-5,0.7709166
5.96e-5,0.7709434
6.42e-5,0.7709714
6.9e-5,0.7709952
7.6e-5,0.7710238
8.0e-5,0.7710492
8.54e-5,0.7710754
8.88e-5,0.771102
9.42e-5,0.771131
9.72e-5,0.7711594
0.0001034,0.7711854
0.0001058,0.7712124
0.00011,0.7712374
0.0001148,0.7712572
0.0001182,0.7712834
0.0001198,0.7713044
0.0001232,0.7713312
0.0001262,0.7713612
0.00013,0.7713986
0.000133,0.7714296
0.0001376,0.77146
0.000142,0.7714896
0.0001454,0.7715146
0.0001488,0.7715414
0.0001544,0.7715752
0.0001604,0.7716008
0.0001644,0.771626
0.0001684,0.7716558
0.000171,0.7716856
0.0001782,0.7717042
0.000184,0.771729
0.0001882,0.7717576
0.000193,0.7717874
0.000196,0.7718176
0.0001978,0.7718398
0.0002016,0.7718596
0.0002048,0.7718908
0.0002084,0.771916
0.0002126,0.771943
0.000216,0.7719728
0.0002204,0.7720006
0.0002258,0.7720292
0.0002284,0.77206
0.000232,0.772082
0.0002356,0.7721104
0.00024,0.7721396
0.0002434,0.772164
0.000245,0.772195
0.0002476,0.7722216
0.0002534,0.7722536
0.0002574,0.7722808
0.000263,0.7723046
0.0002674,0.7723262
0.0002714,0.772354
0.000277,0.7723826
0.000281,0.7724116
0.0002842,0.7724414
0.000288,0.772469
0.0002924,0.772491
0.0002952,0.7725186
0.0002992,0.7725416
0.0003064,0.7725642
0.0003102,0.7725906
0.0003136,0.7726176
0.0003172,0.7726392
0.0003194,0.7726674
0.000322,0.772695
0.000328,0.7727156
0.0003316,0.7727426
0.0003358,0.7727762
0.0003392,0.7728006
0.0003434,0.7728296
0.0003476,0.7728578
0.0003522,0.7728786
0.000356,0.7729068
0.000361,0.7729376
0.0003668,0.7729674
0.0003716,0.7729918
0.0003744,0.773018
0.0003816,0.773041
0.0003882,0.7730672
0.0003928,0.7730898
0.0003966,0.7731144
0.0004024,0.7731422
0.0004056,0.7731662
0.0004076,0.7731924
0.0004102,0.773221
0.000414,0.7732508
0.0004208,0.7732832
0.0004264,0.7733074
0.000431,0.7733342
0.000437,0.7733556
0.0004424,0.7733848
0.000448,0.7734138
0.000452,0.7734378
0.0004584,0.773461
0.0004612,0.773486
0.0004672,0.7735134
0.0004726,0.773538
0.0004766,0.773562
0.000479,0.7735904
0.0004878,0.7736166
0.0004916,0.7736452
0.0004968,0.7736734
0.0005006,0.7737
0.000506,0.773727
0.0005078,0.7737524
0.000514,0.7737798
0.0005206,0.773807
0.0005256,0.773836
0.0005284,0.773862
0.0005344,0.7738854
0.0005388,0.7739136
0.0005416,0.7739376
0.0005458,0.773962
0.0005496,0.7739866
0.0005562,0.7740132
0.0005618,0.7740378
0.000566,0.7740634
0.0005702,0.7740914
0.0005718,0.7741204
0.0005732,0.774148
0.0005762,0.7741788
0.000579,0.7742098
0.000582,0.7742352
0.0005874,0.7742548
0.0005914,0.7742808
0.0005966,0.7743046
0.0006028,0.7743304
0.000607,0.7743528
0.0006126,0.7743844
0.0006162,0.774415
0.0006206,0.7744494
0.0006226,0.774477
0.0006252,0.7745052
0.0006304,0.7745376
0.000633,0.7745658
0.0006392,0.7745916
0.0006424,0.7746204
0.0006452,0.7746454
0.0006506,0.7746728
0.0006538,0.774698
0.0006604,0.7747276
0.0006644,0.7747522
0.0006678,0.7747828
0.000672,0.7748074
0.0006758,0.7748364
0.0006812,0.7748622
0.0006844,0.774893
0.0006902,0.7749214
0.0006952,0.7749482
0.0006998,0.7749728
0.0007066,0.7749946
0.0007102,0.7750244
0.0007162,0.7750532
0.0007214,0.7750806
0.0007262,0.775102
0.0007322,0.7751256
0.000735,0.775153
0.0007366,0.7751812
0.0007386,0.7752086
0.0007424,0.7752328
0.0007466,0.775255
0.0007514,0.7752768
0.0007554,0.7753014
0.0007604,0.7753222
0.0007668,0.7753502
0.0007706,0.7753802
0.000776,0.7754122
0.0007788,0.7754406
0.0007852,0.7754708
0.0007896,0.7754924
0.0007954,0.7755178
0.0007998,0.775544
0.0008052,0.7755714
0.0008094,0.7756006
0.0008128,0.7756236
0.0008166,0.7756492
0.0008194,0.775673
0.000825,0.7756978
0.0008296,0.7757238
0.000833,0.775751
0.0008382,0.7757774
0.000842,0.7757988
0.0008474,0.7758322
0.0008506,0.7758582
0.000856,0.7758846
0.000861,0.7759106
0.0008652,0.7759356
0.00087,0.7759558
0.000873,0.7759786
0.000878,0.7760048
0.0008824,0.7760362
0.0008862,0.7760592
0.0008922,0.7760808
0.000897,0.7761066
0.0009016,0.7761308
0.0009064,0.7761606
0.0009114,0.776184
0.0009148,0.7762134
0.0009178,0.7762374
0.0009222,0.7762624
0.0009252,0.7762906
0.0009314,0.7763188
0.0009364,0.7763448
0.000941,0.7763654
0.0009454,0.7763928
0.0009484,0.776417
0.0009532,0.7764414
0.0009566,0.7764668
0.0009598,0.7764918
0.0009624,0.7765254
0.0009652,0.7765564
0.0009696,0.776578
0.000971,0.7766056
0.0009736,0.7766354
0.0009794,0.7766564
0.0009866,0.776682
0.0009902,0.7767088
0.0009966,0.7767396
0.0010012,0.7767654
0.0010066,0.776796
0.0010118,0.7768204
0.0010164,0.7768414
0.0010206,0.7768724
0.001024,0.7769018
0.0010264,0.7769268
0.0010304,0.7769556
0.001034,0.7769842
0.001038,0.7770066
0.0010434,0.777031
0.001047,0.7770606
0.0010506,0.777092
0.0010548,0.7771156
0.0010594,0.7771414
0.0010624,0.777171
0.0010662,0.7771878
0.0010724,0.7772122
0.0010748,0.7772364
0.0010794,0.7772636
0.001084,0.7772864
0.0010902,0.7773096
0.0010942,0.777343
0.0010976,0.7773696
0.0011044,0.777392
0.001108,0.7774196
0.0011118,0.7774468
0.0011166,0.7774692
0.0011202,0.7774978
0.0011254,0.777525
0.0011294,0.7775516
0.0011346,0.7775804
0.0011394,0.7776038
0.0011412,0.7776334
0.0011448,0.7776574
0.0011498,0.7776864
0.0011534,0.7777162
0.0011604,0.7777376
0.001167,0.7777658
0.0011712,0.7777918
0.0011756,0.7778106
0.0011832,0.777836
0.0011882,0.7778582
0.0011928,0.7778914
0.001196,0.7779164
0.0012002,0.7779414
0.0012048,0.7779626
0.0012072,0.7779838
0.0012102,0.7780116
0.0012132,0.778035
0.001218,0.7780644
0.0012256,0.778092
0.0012302,0.7781208
0.0012336,0.7781472
0.0012372,0.778173
0.0012416,0.7782018
0.0012482,0.7782272
0.0012538,0.7782518
0.0012594,0.7782798
0.0012644,0.778306
0.0012704,0.7783324
0.0012748,0.778361
0.0012784,0.7783856
0.0012838,0.7784122
0.0012884,0.7784348
0.001292,0.7784558
0.0012954,0.7784876
0.0013012,0.7785126
0.0013066,0.7785408
