phase_2,phase_4
0.0,0.7704492
3.6e-6,0.770478
8.4e-6,0.770503
1.24e-5,0.7705292
1.64e-5,0.7705534
2.0e-5,0.770581
2.48e-5,0.7706072
2.78e-5,0.7706336
3.3e-5,0.7706596
3.68e-5,0.7706848
4.14e-5,0.770714
4.44e-5,0.7707402
5.0e-5,0.7707664
5.52e-5,0.770796
6.06e-5,0.7708244
6.52e-5,0.7708504
7.14e-5,0.770877
7.44e-5,0.7709018
7.94e-5,0.77093
8.28e-5,0.7709548
8.72e-5,0.7709812
9.06e-5,0.7710066
9.64e-5,0.771033
9.94e-5,0.771059
0.000105,0.771084
0.0001088,0.7711096
0.000112,0.7711366
0.0001152,0.7711608
0.0001188,0.7711868
0.0001236,0.7712146
0.000126,0.771249
0.0001298,0.7712798
0.0001348,0.771307
0.0001384,0.771335
0.000144,0.7713612
0.0001484,0.7713868
0.0001536,0.7714152
0.000159,0.7714412
0.0001624,0.771469
0.0001664,0.7714926
0.0001698,0.7715186
0.000175,0.7715386
0.000179,0.7715666
0.0001844,0.7715944
0.0001892,0.771621
0.0001926,0.7716522
0.0001954,0.7716804
0.0001992,0.7717012
0.0002032,0.7717282
0.0002076,0.7717536
0.0002118,0.771781
0.0002154,0.7718108
0.0002192,0.7718378
0.0002238,0.7718646
0.0002276,0.771893
0.0002312,0.7719188
0.0002344,0.7719478
0.0002382,0.7719786
0.0002418,0.772003
0.000244,0.772032
0.0002476,0.7720592
0.0002536,0.7720886
0.0002576,0.7721138
0.0002622,0.772135
0.0002658,0.7721614
0.0002694,0.7721926
0.0002752,0.7722176
0.00028,0.772243
0.0002842,0.7722702
0.0002876,0.7722972
0.0002926,0.772323
0.0002976,0.7723506
0.0003012,0.7723746
0.0003056,0.7723988
0.0003092,0.7724226
0.0003124,0.7724484
0.0003158,0.7724734
0.0003184,0.7724994
0.000322,0.7725294
0.0003276,0.7725532
0.0003324,0.7725776
0.0003352,0.7726068
0.0003394,0.7726338
0.000344,0.7726608
0.000348,0.7726882
0.0003522,0.7727122
0.0003572,0.7727374
0.0003618,0.7727666
0.0003672,0.7727952
0.000372,0.7728216
0.0003754,0.7728468
0.0003796,0.7728708
0.0003848,0.7728952
0.0003892,0.7729186
0.0003926,0.7729438
0.0003986,0.772969
0.0004024,0.7729942
0.000406,0.7730178
0.0004098,0.7730456
0.0004136,0.7730766
0.0004186,0.7731106
0.000424,0.773138
0.0004286,0.7731652
0.0004336,0.7731914
0.0004386,0.7732226
0.0004434,0.7732494
0.0004468,0.7732762
0.0004514,0.7732984
0.0004548,0.7733224
0.0004602,0.7733504
0.0004662,0.7733748
0.00047,0.7733944
0.000472,0.7734258
0.0004794,0.7734534
0.0004842,0.7734826
0.0004892,0.773508
0.0004928,0.7735372
0.000497,0.7735664
0.0004998,0.7735896
0.0005056,0.7736172
0.0005096,0.7736446
0.0005146,0.7736726
0.0005188,0.7736974
0.0005236,0.7737214
0.000528,0.773749
0.0005314,0.7737754
0.0005356,0.7738022
0.0005392,0.7738282
0.0005442,0.773855
0.0005488,0.773879
0.0005532,0.773903
0.0005576,0.773931
0.0005606,0.7739566
0.0005632,0.7739838
0.0005676,0.7740136
0.0005708,0.774043
0.000574,0.7740684
0.000578,0.7740926
0.000583,0.7741192
0.0005888,0.774146
0.0005956,0.774171
0.0005996,0.7741956
0.0006044,0.7742246
0.0006086,0.7742526
0.0006116,0.7742836
0.0006138,0.7743094
0.0006168,0.7743398
0.0006208,0.7743694
0.0006252,0.774399
0.0006304,0.7744244
0.0006332,0.7744524
0.0006368,0.7744804
0.000642,0.7745086
0.000647,0.7745344
0.0006522,0.7745616
0.0006554,0.774591
0.0006598,0.7746182
0.0006636,0.7746396
0.0006674,0.7746666
0.0006718,0.7746946
0.0006748,0.7747226
0.0006786,0.7747492
0.0006834,0.7747748
0.0006874,0.7748008
0.000693,0.7748236
0.000697,0.7748512
0.0007024,0.7748784
0.0007074,0.7749058
0.0007122,0.7749298
0.0007166,0.7749562
0.0007194,0.7749802
0.0007218,0.775009
0.0007254,0.7750374
0.0007284,0.775062
0.0007326,0.7750856
0.0007382,0.7751088
0.0007422,0.7751348
0.0007472,0.7751584
0.0007518,0.7751856
0.0007552,0.775213
0.000759,0.775242
0.0007626,0.775269
0.0007684,0.7752962
0.000774,0.7753218
0.0007782,0.7753488
0.0007828,0.7753764
0.0007876,0.775403
0.0007914,0.7754346
0.0007952,0.7754564
0.000799,0.7754818
0.0008026,0.7755044
0.0008072,0.775529
0.0008116,0.7755578
0.0008146,0.775585
0.000819,0.7756094
0.000823,0.7756352
0.000829,0.775666
0.0008328,0.7756906
0.0008382,0.7757154
0.000842,0.775742
0.0008462,0.7757698
0.00085,0.775792
0.0008536,0.7758142
0.0008586,0.7758404
0.0008632,0.7758688
0.0008678,0.7758958
0.0008738,0.7759202
0.000878,0.7759476
0.0008832,0.7759746
0.0008868,0.7760032
0.0008906,0.7760278
0.0008948,0.776059
0.0008984,0.7760858
0.0009028,0.7761132
0.0009064,0.7761406
0.0009116,0.7761682
0.0009164,0.7761926
0.00092,0.776214
0.0009252,0.7762412
0.0009294,0.7762656
0.0009344,0.7762902
0.0009376,0.7763168
0.0009414,0.7763412
0.000945,0.7763712
0.000948,0.7764028
0.000953,0.7764278
0.0009556,0.7764544
0.000959,0.7764822
0.0009634,0.7765038
0.0009686,0.7765316
0.0009732,0.7765564
0.0009778,0.7765822
0.0009826,0.7766066
0.0009878,0.7766308
0.0009922,0.7766554
0.000997,0.7766788
0.001001,0.7767082
0.001004,0.776735
0.0010068,0.7767614
0.0010108,0.7767888
0.0010152,0.7768146
0.0010192,0.776838
0.0010254,0.7768618
0.00103,0.7768888
0.0010336,0.776916
0.0010378,0.7769412
0.0010428,0.7769658
0.001046,0.7769912
0.00105,0.7770116
0.001055,0.7770346
0.0010588,0.7770586
0.0010628,0.777084
0.0010674,0.7771064
0.001072,0.7771294
0.001076,0.7771622
0.0010794,0.7771906
0.0010844,0.777216
0.0010878,0.7772432
0.0010914,0.7772698
0.0010954,0.7772944
0.0010992,0.7773206
0.0011038,0.7773442
0.0011084,0.7773686
0.0011132,0.777397
0.0011192,0.7774242
0.0011218,0.7774502
0.0011246,0.7774772
0.001128,0.7775052
0.001132,0.7775312
0.001138,0.7775574
0.0011442,0.7775866
0.0011472,0.7776148
0.0011508,0.7776392
0.001157,0.7776646
0.0011614,0.7776888
0.0011654,0.7777156
0.0011692,0.7777412
0.0011744,0.777768
0.0011786,0.7777914
0.0011812,0.7778148
0.0011858,0.7778424
0.0011892,0.7778666
0.0011936,0.7778966
0.0011986,0.7779256
0.0012038,0.777953
0.0012082,0.777979
0.0012108,0.7780048
0.0012142,0.7780292
0.0012186,0.7780538
0.0012242,0.7780826
0.0012288,0.7781132
0.001234,0.7781386
0.0012398,0.7781644
0.0012444,0.7781912
0.0012498,0.778216
0.0012542,0.7782402
0.001259,0.7782624
0.0012636,0.7782882
0.0012676,0.7783144
0.0012728,0.7783404
0.0012772,0.7783664
0.0012808,0.778391
0.001284,0.7784162
0.0012876,0.7784394
0.001291,0.7784676
0.0012966,0.7784964
0.0013016,0.778519
0.0013054,0.7785458
0.0013106,0.7785732
0.0013154,0.778601
0.0013196,0.7786258
0.0013238,0.778648
0.0013268,0.778678
0.0013312,0.7787026
0.0013342,0.7787298
0.0013376,0.778752
0.0013418,0.7787774
0.0013472,0.7788004
0.0013512,0.7788298
0.0013562,0.7788592
0.0013596,0.7788826
0.0013632,0.7789046
0.0013658,0.7789294
0.0013702,0.7789552
0.0013732,0.7789818
