phase_2,phase_4
0.0,0.3470326
1.0e-6,0.3470486
2.2e-6,0.3470678
4.0e-6,0.3470882
6.6e-6,0.3471078
8.4e-6,0.3471258
1.08e-5,0.3471418
1.3e-5,0.3471596
1.5e-5,0.3471758
1.78e-5,0.3472008
2.06e-5,0.3472148
2.14e-5,0.3472352
2.54e-5,0.3472532
2.94e-5,0.3472698
3.14e-5,0.347289
3.5e-5,0.3473044
3.64e-5,0.34732
3.84e-5,0.3473384
4.0e-5,0.3473596
4.26e-5,0.3473772
4.64e-5,0.3473914
4.96e-5,0.3474088
5.12e-5,0.3474294
5.46e-5,0.3474484
5.6e-5,0.3474662
5.76e-5,0.3474826
5.92e-5,0.3475004
6.14e-5,0.3475168
6.18e-5,0.3475344
6.36e-5,0.3475544
6.44e-5,0.3475708
6.68e-5,0.3475882
6.84e-5,0.347611
7.26e-5,0.3476294
7.6e-5,0.3476462
7.78e-5,0.347662
7.82e-5,0.3476782
8.04e-5,0.347692
8.4e-5,0.3477112
8.6e-5,0.3477308
8.64e-5,0.3477482
8.72e-5,0.3477636
8.86e-5,0.3477776
9.06e-5,0.3477956
9.18e-5,0.3478166
9.28e-5,0.3478334
9.42e-5,0.347854
9.78e-5,0.3478758
9.98e-5,0.3478958
0.0001018,0.347911
0.0001042,0.3479258
0.0001058,0.3479442
0.0001064,0.3479632
0.00011,0.34798
0.0001112,0.347995
0.0001138,0.3480166
0.0001164,0.3480342
0.0001188,0.3480572
0.0001226,0.3480744
0.0001236,0.3480958
0.0001248,0.3481128
0.0001278,0.3481328
0.0001306,0.3481488
0.000133,0.3481708
0.0001348,0.348189
0.0001366,0.3482072
0.000138,0.3482274
0.000139,0.3482436
0.0001414,0.3482614
0.000143,0.3482864
0.0001448,0.3483072
0.0001474,0.3483262
0.0001512,0.3483452
0.0001528,0.348365
0.0001548,0.3483804
0.0001568,0.3483976
0.0001588,0.3484194
0.0001592,0.3484342
0.000161,0.348452
0.0001634,0.348469
0.0001646,0.3484846
0.0001672,0.348504
0.0001708,0.3485226
0.0001732,0.34854
0.0001744,0.3485586
0.0001762,0.3485754
0.0001774,0.3485968
0.0001806,0.348615
0.000183,0.348636
0.0001854,0.3486508
0.0001856,0.3486732
0.000187,0.3486926
0.0001886,0.3487156
0.0001902,0.3487354
0.0001912,0.3487546
0.000193,0.3487778
0.0001958,0.348801
0.0001972,0.3488248
0.000199,0.3488426
0.0002028,0.3488604
0.0002052,0.3488788
0.0002072,0.3488946
0.0002094,0.3489122
0.0002126,0.3489264
0.000214,0.3489408
0.0002162,0.3489564
0.0002186,0.3489756
0.0002222,0.3489972
0.000224,0.3490142
0.0002266,0.3490342
0.000229,0.3490494
0.0002296,0.3490644
0.0002326,0.3490826
0.0002336,0.3490992
0.0002368,0.349115
0.0002402,0.3491294
0.0002424,0.349149
0.0002452,0.3491658
0.0002466,0.3491856
0.0002476,0.349204
0.0002484,0.3492228
0.00025,0.3492372
0.0002514,0.3492554
0.0002528,0.3492774
0.0002536,0.3492956
0.0002548,0.349312
0.0002572,0.3493276
0.0002586,0.3493414
0.0002594,0.34936
0.0002622,0.3493782
0.000263,0.3493978
0.0002652,0.3494178
0.0002656,0.3494326
0.0002674,0.3494524
0.0002688,0.349475
0.0002706,0.3494926
0.0002724,0.3495094
0.0002738,0.3495232
0.0002756,0.3495392
0.0002774,0.3495584
0.0002798,0.3495766
0.0002818,0.3495926
0.0002834,0.3496084
0.0002842,0.349628
0.000286,0.3496506
0.0002868,0.3496656
0.0002882,0.3496876
0.0002924,0.3497096
0.0002946,0.3497302
0.0002958,0.349745
0.0002968,0.3497602
0.0002996,0.3497764
0.0003028,0.349795
0.0003048,0.3498098
0.0003056,0.3498278
0.0003078,0.3498442
0.0003112,0.3498614
0.0003124,0.3498752
0.0003144,0.3498916
0.0003174,0.3499096
0.0003198,0.3499276
0.000321,0.3499462
0.0003248,0.3499628
0.0003262,0.3499774
0.0003268,0.3499934
0.0003284,0.3500118
0.0003306,0.3500278
0.0003328,0.3500412
0.000334,0.3500616
0.0003376,0.350083
0.0003394,0.3500972
0.00034,0.3501164
0.0003422,0.3501344
0.0003436,0.3501506
0.0003462,0.350167
0.0003494,0.3501858
0.0003512,0.350203
0.000353,0.3502244
0.0003544,0.3502426
0.0003584,0.3502688
0.0003604,0.3502842
0.0003626,0.3503034
0.0003668,0.3503196
0.0003694,0.3503356
0.0003716,0.3503582
0.0003752,0.3503778
0.0003782,0.3503938
0.000381,0.3504144
0.0003826,0.3504346
0.0003836,0.3504492
0.0003852,0.3504676
0.0003868,0.3504842
0.0003868,0.3505032
0.0003878,0.350524
0.00039,0.350544
0.000392,0.3505674
0.0003938,0.3505864
0.0003962,0.3506112
0.0003978,0.3506298
0.0004018,0.3506488
0.0004042,0.3506682
0.000405,0.3506878
