phase_2,phase_4
0.0,0.3469638
1.6e-6,0.3469818
2.6e-6,0.347001
4.4e-6,0.3470204
7.4e-6,0.347039
9.2e-6,0.3470584
1.06e-5,0.3470762
1.3e-5,0.347093
1.42e-5,0.3471104
1.66e-5,0.347132
1.92e-5,0.3471488
2.08e-5,0.3471666
2.38e-5,0.3471844
2.64e-5,0.347201
2.82e-5,0.3472208
3.14e-5,0.347237
3.3e-5,0.3472516
3.54e-5,0.347269
3.66e-5,0.3472902
3.96e-5,0.3473072
4.28e-5,0.3473256
4.56e-5,0.3473444
4.74e-5,0.3473614
5.0e-5,0.3473788
5.22e-5,0.3473954
5.38e-5,0.347411
5.52e-5,0.3474292
5.82e-5,0.3474464
5.92e-5,0.3474636
6.06e-5,0.3474824
6.16e-5,0.3474996
6.38e-5,0.3475212
6.58e-5,0.347541
6.84e-5,0.3475576
7.02e-5,0.347578
7.22e-5,0.3475918
7.4e-5,0.3476072
7.62e-5,0.3476234
8.0e-5,0.3476412
8.28e-5,0.3476582
8.36e-5,0.3476758
8.5e-5,0.3476912
8.7e-5,0.3477052
8.92e-5,0.3477226
9.12e-5,0.3477424
9.22e-5,0.3477618
9.34e-5,0.3477814
9.66e-5,0.3478036
9.82e-5,0.347821
9.98e-5,0.3478382
0.0001022,0.3478536
0.0001036,0.3478718
0.0001046,0.3478878
0.000107,0.3479076
0.0001088,0.347922
0.0001114,0.3479404
0.0001134,0.3479574
0.0001158,0.3479766
0.0001192,0.3479952
0.0001206,0.3480134
0.0001224,0.34803
0.0001248,0.3480486
0.0001268,0.3480622
0.0001292,0.3480828
0.0001312,0.3481028
0.0001326,0.3481184
0.0001348,0.3481368
0.000136,0.3481536
0.000138,0.3481712
0.0001398,0.3481948
0.0001416,0.3482142
0.000143,0.3482352
0.0001458,0.3482534
0.0001472,0.3482732
0.0001498,0.3482914
0.0001516,0.3483096
0.0001538,0.348329
0.0001548,0.3483444
0.0001566,0.3483632
0.0001602,0.3483786
0.0001614,0.3483924
0.0001636,0.3484126
0.0001666,0.3484292
0.0001686,0.3484432
0.0001696,0.3484598
0.0001712,0.3484766
0.0001726,0.3484928
0.000175,0.3485114
0.0001774,0.348531
0.0001804,0.3485488
0.0001808,0.3485678
0.0001828,0.348586
0.0001844,0.3486088
0.0001864,0.3486282
0.0001878,0.3486482
0.0001892,0.3486718
0.0001922,0.3486922
0.0001934,0.3487112
0.0001954,0.3487306
0.0001982,0.3487496
0.0001998,0.3487698
0.0002018,0.348787
0.0002038,0.3488068
0.000207,0.3488228
