DG,Unif,QBDRAP
-1.623770765622599,-1.623770765622599,-1.610101434210347
-7.317590204499274,-1.936320811741963,-1.9814779133347118
-11.31596139328256,-2.11391910316917,-2.277324736701226
-11.322523109856311,-2.239199849866227,-2.510526564361511
-11.322594092325193,-2.3361921901250895,-2.7001636692361877
-11.322537321374451,-2.415377747547018,-2.858914337985597
-11.32243682125866,-2.4823019371427995,-2.9949161140641394
-11.322806798759641,-2.540263654367523,-3.1135913502604744
-11.322574821549123,-2.5913851812433144,-3.2186930914099183
-11.322400302507619,-2.637113146909871,-3.312895380090466
-11.32258460821635,-2.678478111706617,-3.3981624897056557
