DG,Unif,QBDRAP
-1.9438649064723972,-1.9438649064723972,-1.8342565712793275
-5.023361166099697,-2.2452351937178276,-2.2270370294754853
-5.0383893948242156,-2.4214910073664337,-2.5423561638243486
-5.038390206879652,-2.5463218982640257,-2.7677460109098355
-5.038390458647997,-2.6431140546685468,-2.942336028266582
-5.03839060045972,-2.722046046351865,-3.0816550211278546
-5.038390689614288,-2.7887444028655803,-3.19530538240131
-5.038390749914935,-2.8465437445577164,-3.290434965947337
-5.038390792892727,-2.897359120214332,-3.3712612869246623
-5.038390824797858,-2.9428285226474427,-3.441140176836814
-5.038390849186725,-2.9839176707448694,-3.50261658134551
