DG,Unif,QBDRAP
-2.257389001736963,-2.257389001736963,-2.2367013341518414
-7.867230022890835,-2.546351693354244,-2.5836633617189757
-12.084976743018874,-2.7191900294336184,-2.8750075671254294
-12.077290428711994,-2.8421787440854844,-3.1060272310907178
-12.077650629845609,-2.934328599141799,-3.290335935129876
-12.07728322773568,-3.0103985187027207,-3.4461811799297886
-12.077340838889615,-3.075152995131731,-3.58042917520148
-12.077939006006206,-3.1315170123458786,-3.69796794932527
-12.077254425024355,-3.181412970661427,-3.801893927974559
-12.077103242121401,-3.2261712317266995,-3.8948630496129932
-12.077920976885174,-3.266750332009266,-3.9789778397532203
