dg1,dg2,order13,qbdrap4
-0.6771096394923988,-0.6771096394923988,-0.6771096394923988,-0.5402596347359911
-2.3156031150639804,-1.0356104136505926,-1.0731902754671614,-1.015489934230868
-2.3753731131933176,-1.0054786580587998,-1.2748487863712936,-1.3423282946923807
-2.44130793879874,-0.9854249808870177,-1.4084906208788968,-1.5843277301277754
-2.4578076855910673,-0.9802447677698359,-1.5086778508404723,-1.766720293507962
-2.4654833736847954,-0.9771829477191508,-1.5887836307987253,-1.909540247299913
-2.4707444480227716,-0.9769099620803101,-1.6553495454134044,-2.022853006669392
-2.4709608396905036,-0.9767525590944853,-1.7121358177216273,-2.1131860773579807
-2.4725528325902926,-0.9766188910050281,-1.7614397423467414,-2.185252747044763
-2.47398367625261,-0.976801401279246,-1.8048867464907836,-2.2428891497701726
-2.4741642701700797,-0.9769467796535665,-1.8435192884623888,-2.28694105794199
