dg1,dg2,order13,qbdrap4
-2.1709680203135036,-2.1709680203135036,-2.1709680203135036,-2.006155537117651
-5.004435283099518,-2.7139383372073276,-2.8457841893021474,-2.883221124881656
-5.743563077297906,-2.6528104767358047,-3.1954833746667606,-3.4785381761776057
-6.078213603947099,-2.623456072959577,-3.439265261579099,-3.931443064460955
-6.224589916019996,-2.612150500427341,-3.626834799502979,-4.290585733750473
-6.297484698043538,-2.6063015299201555,-3.779397414499326,-4.585506134247056
-6.331690088251976,-2.6053176398234474,-3.907843052942869,-4.830549661787774
-6.343389392504817,-2.6054576777909664,-4.0184357637071875,-5.040025520213991
-6.356994381783315,-2.6053614772264955,-4.115636348387195,-5.218035697236321
-6.366686883421482,-2.606221330018861,-4.2030438131496615,-5.3667909115692325
-6.372149439630361,-2.606626075897357,-4.281304338380133,-5.498165837847491
