dg1,dg2,order13,qbdrap4
-2.16490552748743,-2.16490552748743,-2.16490552748743,-1.995429911337819
-4.806859401486917,-2.692862220351606,-2.827728569419073,-2.8706712385227866
-4.994627465116351,-2.633213249111278,-3.166098129049974,-3.4543388603693987
-5.058556297239907,-2.604127386846947,-3.3999863411050173,-3.882101729549763
-5.067696097260245,-2.5931903890448105,-3.5793108641386975,-4.199884952066701
-5.071399250398459,-2.5874973442698654,-3.7244026837241586,-4.432756477496373
-5.075382357455725,-2.586577450691066,-3.8457412389382264,-4.606508516783493
-5.075047920793233,-2.5867367563596813,-3.948687417675737,-4.730758776123607
-5.075871737966826,-2.5866992982364088,-4.039139011473063,-4.818418142512723
-5.076869635803649,-2.587510041308983,-4.119069907166847,-4.87766516044252
-5.076671210118166,-2.5879197708850143,-4.189118795225406,-4.921432535209655
