dg1,dg2,order13,qbdrap4
-0.6755032015872651,-0.6755032015872651,-0.6755032015872651,-0.5378353409506592
-2.0502709832389576,-1.0277448101983506,-1.0688886463547465,-1.0089629597360843
-2.0573873340876827,-0.9977731522636127,-1.267573706106571,-1.3280319540439842
-2.0827324792869653,-0.9785828634804441,-1.3948124722078072,-1.5594069062452867
-2.08576949088725,-0.9736200530845028,-1.4856128706748712,-1.7260891704285446
-2.0865279522204188,-0.9706020292825696,-1.558412157787719,-1.8422861066391951
-2.08833294359363,-0.9703190495260331,-1.6175699489832738,-1.9183404081856699
-2.088089108376798,-0.9701548985931203,-1.6650551448445237,-1.9616234222101339
-2.088419855958802,-0.970061544208446,-1.7046686752365139,-1.9911308468381905
-2.088814105643831,-0.9702320535637968,-1.7375167299572498,-2.0153921224787203
-2.0888306287200966,-0.970362973715679,-1.767167794436941,-2.033175187906288
