dg1,dg2,order13,qbdrap4
-2.167909898249031,-2.167909898249031,-2.167909898249031,-2.0009230171550185
-4.986339339788452,-2.7036608839468883,-2.837153743586265,-2.877352810983977
-5.480371311781676,-2.6430467866991543,-3.1816795978063324,-3.467695714520677
-5.666022353772816,-2.613994420554869,-3.421222303144466,-3.91277402093412
-5.711677452643592,-2.602837624948527,-3.6054900194895008,-4.260390511929196
-5.72912054385436,-2.5970766338747446,-3.7552343146581317,-4.538891686516757
-5.742548667274292,-2.5961248390493212,-3.8812698430434804,-4.764727388914719
-5.743568886373301,-2.5962802595595242,-3.9899853172258903,-4.948306501430338
-5.74688930838847,-2.596192682566976,-4.085472030795174,-5.097071276394389
-5.750086747101238,-2.5970372125863226,-4.170514474010145,-5.216960966079005
-5.750246525443964,-2.597448422145804,-4.247091458248461,-5.3130465570972065
