dg1,dg2,order13,qbdrap4
-0.7377307329990522,-0.7377307329990522,-0.7377307329990522,-0.7380456303476504
-2.7399412151318927,-1.7936425261028155,-1.4423547150649714,-1.5975801977841086
-2.995608761145407,-1.7562895049080447,-1.7845202004253657,-2.1242967406210305
-3.156526512990331,-1.737217797727185,-1.998347730925765,-2.449230467487936
-3.279307782720329,-1.723052283773889,-2.14787317934496,-2.6591794085907483
-3.369614829012451,-1.7158376380391436,-2.2595350954393045,-2.8045024391990876
-3.4490276485618714,-1.7107091990840628,-2.3466780652576475,-2.9126810372719216
-3.515347465555856,-1.707380332412916,-2.4169689993224455,-2.9981928126162543
-3.571264664060049,-1.7050496383875475,-2.4751756819275625,-3.06805463500904
-3.623745803495194,-1.7035576899881286,-2.5243867905867874,-3.1273123770582267
-3.668797348839659,-1.702426333735972,-2.566714534608596,-3.178960959155923
