dg1,dg2,order13,qbdrap4
-0.7396042034805438,-0.7396042034805438,-0.7396042034805438,-0.739925386514765
-2.742338068502374,-1.79681720071073,-1.4463533466507603,-1.6021041555461288
-2.9993900772154447,-1.759216892927922,-1.7900846286754242,-2.1317041406584125
-3.1616492784131878,-1.740065634001373,-2.0050430150379306,-2.458389958340883
-3.2843165425810823,-1.725887692803607,-2.155304200881146,-2.669222374807304
-3.3769827548512574,-1.7186468776764818,-2.2674446368137136,-2.8151597550686227
-3.457174437312161,-1.7135003643308253,-2.354955471408438,-2.923574573837627
-3.524292275738653,-1.7101614365642972,-2.425540907837884,-3.00890831722555
-3.582007474559303,-1.7078212494656353,-2.4839585026934756,-3.079080487255843
-3.635039169865681,-1.7063226967400131,-2.5333174177034232,-3.1386867022233886
-3.6813736479432584,-1.7051803081996662,-2.5757394622445764,-3.1905569721141642
