dg1,dg2,order13,qbdrap4
-0.7414022602146189,-0.7414022602146189,-0.7414022602146189,-0.7417069091910455
-2.743823614369494,-1.799733506044822,-1.450253546650675,-1.6065792600604443
-3.0012450479554045,-1.761960578942139,-1.7955002718752555,-2.1387074388517173
-3.1637747469001556,-1.7427527341312368,-2.011465928522054,-2.466768831444607
-3.2856542453147606,-1.728541082211289,-2.1624139174477848,-2.6780964824668136
-3.37921909869681,-1.7212989015239566,-2.2750383001500976,-2.8242039841785878
-3.4592338043135045,-1.7161822201015522,-2.3628212553281536,-2.932704004139764
-3.526162893302408,-1.7128623094138573,-2.433649026542811,-3.017877954846038
-3.584738201274664,-1.7105315318814147,-2.4922186376374267,-3.088005098694483
-3.637324677387038,-1.7090391217300165,-2.541624242121751,-3.147414937544827
-3.6838334177680716,-1.7079055676752366,-2.5840535147810604,-3.1991386032925546
