t,phase_1,phase_2
0.0,0.0,0.0
0.0016666666666666668,0.0004736,0.0013348
0.0033333333333333335,0.0009172,0.00269
0.005,0.0014244,0.004008
0.006666666666666667,0.0019108,0.0053188
0.008333333333333333,0.0023938,0.0066274
0.01,0.0028792,0.0079382
0.011666666666666667,0.003391,0.0092418
0.013333333333333334,0.003874,0.0105542
0.015,0.0043736,0.0118318
0.016666666666666666,0.0048688,0.0130836
0.018333333333333333,0.00535,0.0143942
0.02,0.0058578,0.0156678
0.021666666666666667,0.0063234,0.0169366
0.023333333333333334,0.0068018,0.0181726
0.025,0.007271,0.0194786
0.02666666666666667,0.0077466,0.020707
0.028333333333333332,0.0082422,0.0219606
0.03,0.0087394,0.0232166
0.03166666666666667,0.0092268,0.0244592
0.03333333333333333,0.0097136,0.0257018
0.035,0.0102068,0.0269846
0.03666666666666667,0.0107036,0.0282446
0.03833333333333333,0.011168,0.029493
0.04,0.0116412,0.0307576
0.041666666666666664,0.0121354,0.0319822
0.043333333333333335,0.0126482,0.0331848
0.045,0.0131478,0.034437
0.04666666666666667,0.0136444,0.035699
0.04833333333333333,0.0141188,0.0369534
0.05,0.0146238,0.0381648
0.051666666666666666,0.0151306,0.0393736
0.05333333333333334,0.0156198,0.0406188
0.055,0.0161266,0.0418272
0.056666666666666664,0.0166106,0.0430766
0.058333333333333334,0.0171098,0.0442924
0.06,0.017624,0.045559
0.06166666666666667,0.018095,0.0467604
0.06333333333333334,0.0185972,0.0479982
0.065,0.0190858,0.049163
0.06666666666666667,0.0196,0.050365
0.06833333333333333,0.0201038,0.0515608
0.07,0.0205928,0.0527694
0.07166666666666667,0.021086,0.0539658
0.07333333333333333,0.0215952,0.0551436
0.075,0.022084,0.0563372
0.07666666666666666,0.0225972,0.0574686
0.07833333333333334,0.0231054,0.0586212
0.08,0.0235804,0.0598344
0.08166666666666667,0.0240704,0.0610122
0.08333333333333333,0.0246082,0.0622188
0.085,0.0251204,0.0633934
0.08666666666666667,0.025619,0.0645536
0.08833333333333333,0.026102,0.0657296
0.09,0.0265966,0.0669468
0.09166666666666666,0.0271082,0.0681426
0.09333333333333334,0.0276154,0.0692988
0.095,0.0281042,0.0704982
0.09666666666666666,0.0286078,0.071608
0.09833333333333333,0.0291174,0.072716
0.1,0.0296234,0.0738584
0.10166666666666667,0.0301112,0.0750298
0.10333333333333333,0.030612,0.0761548
0.105,0.0311418,0.0772766
0.10666666666666667,0.0316198,0.0784004
0.10833333333333334,0.0321396,0.0795584
0.11,0.0326552,0.0807166
0.11166666666666666,0.0331676,0.081834
0.11333333333333333,0.0336618,0.0829174
0.115,0.0341876,0.0840294
0.11666666666666667,0.0346906,0.0851608
0.11833333333333333,0.0352028,0.0862952
0.12,0.035706,0.0873926
0.12166666666666667,0.0362062,0.08852
0.12333333333333334,0.0367476,0.0896088
0.125,0.0372574,0.0907448
0.12666666666666668,0.037767,0.091861
0.12833333333333333,0.0382772,0.0929258
0.13,0.0387736,0.0939896
0.13166666666666665,0.0393146,0.0950666
0.13333333333333333,0.0398454,0.0961634
0.135,0.0403654,0.097272
0.13666666666666666,0.0408736,0.0983532
0.13833333333333334,0.0413838,0.0994092
0.14,0.0418862,0.100519
0.14166666666666666,0.0424148,0.1016126
0.14333333333333334,0.0429564,0.1026694
0.145,0.0434554,0.1037178
0.14666666666666667,0.0439538,0.1047892
0.14833333333333334,0.0444776,0.1058628
0.15,0.044986,0.1069472
0.15166666666666667,0.0455074,0.1080086
0.15333333333333332,0.0460198,0.1090504
0.155,0.0465298,0.1100876
0.15666666666666668,0.0470758,0.1111536
0.15833333333333333,0.0475876,0.1121954
0.16,0.0480958,0.1132654
0.16166666666666665,0.048604,0.1143184
0.16333333333333333,0.049138,0.1154292
0.165,0.0496352,0.1164744
0.16666666666666666,0.0501298,0.117524
0.16833333333333333,0.050624,0.1185752
0.17,0.0511386,0.1195936
0.17166666666666666,0.0516332,0.1206206
0.17333333333333334,0.0521752,0.1216586
0.175,0.0526882,0.122674
0.17666666666666667,0.0531874,0.1237108
0.17833333333333334,0.0536926,0.1247178
