t,phase_2,phase_1
0.0,0.003360069606313219,0.0017287874905599623
0.005,0.0067130621489467045,0.003461858273087909
0.01,0.010057912998331484,0.005199232669117656
0.015,0.01339429160240778,0.006940880092749998
0.02,0.016721935169389617,0.008686864943902358
0.025,0.020040599296911196,0.01043760404698255
0.03,0.023350052880405977,0.012193346579258068
0.035,0.026650110354712542,0.013954582253614378
0.04,0.029940555987841806,0.015721490041564215
0.045,0.03322113871302755,0.01749446753427361
0.05,0.03649163765660735,0.019273663550331704
0.055,0.03975188717843059,0.02105928054087494
0.06,0.04300169080035264,0.022851558801122454
0.065,0.04624081518869017,0.024650685757019616
0.07,0.049469057547259276,0.02645673991371525
0.075,0.05268627404381558,0.02826974186029726
0.08,0.055892289248915816,0.030089760038122724
0.085,0.05908688751424074,0.0319168428606112
0.09,0.06226988408629737,0.03375100456979196
0.095,0.06544115308871244,0.03559221444825355
0.1,0.06860053885527445,0.03744022575486493
0.105,0.07174784355799743,0.0392947598607929
0.11,0.07488290120609832,0.041155538052888054
0.115,0.0780056044208763,0.04302228178933301
0.12,0.08111581844894088,0.044894712939879566
0.125,0.08421336115863298,0.0467725540136417
0.13,0.08729812612184247,0.048655528379270785
0.135,0.09036999281545426,0.050543360469823335
0.14,0.09342879116516903,0.052435775975651334
0.145,0.09647442746046778,0.05433250203094238
0.15,0.09950679595315977,0.056233267386197404
0.155,0.10252573869651362,0.058137802569911974
0.16,0.10553117444407434,0.06004584004518895
0.165,0.10852301174072422,0.06195711435340836
0.17,0.11150110473354383,0.06387136224817336
0.175,0.1144653843199387,0.065788322825332
0.18,0.11741577280936473,0.06770773764108098
0.185,0.12035213631948516,0.06962935082131913
0.19,0.12327441751602099,0.07155290916809616
0.195,0.126182551907815,0.07347816225508126
0.2,0.12907641738357717,0.07540486251516468
0.205,0.13195596795666992,0.07733276532606075
0.21,0.1348211517423472,0.07926162908578861
0.215,0.13767185813644528,0.08119121528108686
0.22,0.14050805204333083,0.08312128855463251
0.225,0.14332969357181574,0.08505161676292276
0.23,0.14613668330731613,0.0869819710278161
0.235,0.14892899656079336,0.08891212578758718
0.24,0.1517066048088842,0.09084185883936274
0.245,0.15446941946508713,0.09277095137587316
0.25,0.1572174257420624,0.09469918802234308
0.255,0.15995060585181498,0.09662635686541941
0.26,0.16266888163914295,0.09855224947700916
0.265,0.16537224769947395,0.10047666093880442
0.27,0.16806069634638304,0.10239938985944522
0.275,0.17073415943163212,0.104320238387129
0.28,0.17339264040612917,0.10623901222338622
0.285,0.17603614105455234,0.10815552063004276
0.29,0.17866460279060867,0.11006957643211365
0.295,0.18127803739001658,0.11198099602227933
0.3,0.183876455485447,0.11388959935905053
0.305,0.18645980759292569,0.11579520996130166
0.31,0.18902811328325295,0.11769765490474682
0.315,0.1915813914247748,0.11959676481256305
0.32,0.1941196011669477,0.12149237384277616
0.325,0.19664276935060046,0.12338431967789823
0.33,0.19915092248113023,0.12527244350913191
0.335,0.20164402786795252,0.12715659001769156
0.34,0.20412211910474098,0.12903660735863998
0.345,0.20658522975143206,0.13091234713967478
0.35,0.20903333480341285,0.13278366439735068
0.355,0.21146647410059582,0.13465041757604007
0.36,0.21388468769303956,0.13651246850219298
0.365,0.21628795779111223,0.1383696823563197
0.37,0.2186763299872022,0.1402219276478973
0.375,0.22104985027675983,0.14206907618589584
0.38,0.22340850762014985,0.14391100304728355
0.385,0.2257523528831858,0.14574758654860961
0.39,0.2280814374829089,0.14757870821349842
0.395,0.23039575667325424,0.14940425273835292
0.4,0.23269536613063452,0.15122410796126
0.405,0.2349803221917425,0.1530381648270733
0.41,0.2372506259583568,0.154846317350912
0.415,0.239506337472081,0.15664846258495874
0.42,0.24174751750983817,0.15844450058167908
0.425,0.24397417257842907,0.1602343503754516
0.43,0.2461863665701263,0.16201796431022267
0.435,0.248384164046153,0.16379530054347224
0.44,0.2505675764950077,0.16556631805337343
0.445,0.2527366713271754,0.16733097664601515
0.45,0.2548915163672409,0.16908923696055356
0.455,0.25703212778869067,0.1708410604733065
0.46,0.2591585761219965,0.1725864095030733
0.465,0.26127093200997364,0.17432524721448703
0.47,0.2633692158691567,0.17605753762038573
0.475,0.2654535009356991,0.17778324558542113
0.48,0.26752386025861047,0.17950233682779698
0.485,0.26958031808771676,0.18121477792009796
0.49,0.2716229499837466,0.18292053629136293
0.495,0.2736518310241817,0.1846195802273801
0.5,0.2756669889123575,0.18631187887013909
0.505,0.2776685011833044,0.18799740221853067
0.51,0.2796564445970882,0.1896761211273551
0.515,0.2816308499586972,0.19134800730554966
0.52,0.2835917964558275,0.19301303331566316
0.525,0.2855393622147704,0.1946711725717211
0.53,0.2874735808163329,0.19632239933636828
0.535,0.2893945328058386,0.1979666887192542
0.54,0.2913022973868335,0.1996040166738871
0.545,0.29319691061436215,0.20123435999381895
0.55,0.295078454121039,0.20285769631006714
0.555,0.2969470079240905,0.20447400408707758
0.56,0.2988026102738241,0.20608326261807003
0.565,0.30064534364274687,0.20768545202160937
0.57,0.30247528862173584,0.2092805532367893
0.575,0.3042924853984609,0.21086854801784405
0.58,0.30609701705922177,0.21244941892997526
0.585,0.30788896455033693,0.21402314934385644
0.59,0.3096683697585834,0.2155897234296094
0.595,0.31143531617772485,0.21714912615198204
0.6,0.31318988491152805,0.21870134326426643
0.605,0.31493211932593657,0.22024636130172923
0.61,0.31666210313419824,0.22178416757622807
0.615,0.3183799174182573,0.2233147501696272
0.62,0.3200856068203554,0.22483809792676368
0.625,0.321779255102269,0.22635417602483168
0.63,0.3234609415672268,0.22786294615688038
0.635,0.32513071189836973,0.22936440122483015
0.64,0.3267886503583617,0.2308585350932369
0.645,0.3284348372799319,0.2323453422584409
0.65,0.33006931928116534,0.23382481770031235
0.655,0.3316921803607901,0.23529695733343095
0.66,0.33330350041757245,0.2367617576848446
0.665,0.33490332684106566,0.23821921574944932
0.67,0.3364917425946179,0.23966931925192117
0.675,0.338068828226425,0.2411120921743565
0.68,0.33963463259118787,0.2425475332693601
0.685,0.3411892377609969,0.24397564165801044
0.69,0.3427327224966784,0.24539641702771764
0.695,0.3442651360419254,0.2468098598865591
0.7,0.34578655990419604,0.24821597124764183
0.705,0.3472970720759542,0.2496147526702931
0.71,0.34879672211297463,0.2510062065060459
0.715,0.3502855908681525,0.2523903044045765
0.72,0.3517637534810328,0.25376701786594186
0.725,0.3532312595574722,0.255136355625433
0.73,0.35468818994291945,0.25649832507817455
0.735,0.356134620531232,0.2578529337009511
0.74,0.3575706012157438,0.25920018753619256
0.745,0.3589962130407812,0.26054014133931186
0.75,0.36041152909729834,0.2618727642955198
0.755,0.3618165996909921,0.26319806488004616
0.76,0.36321150430437377,0.2645160532599496
0.765,0.3645963165493053,0.26582674751588126
0.77,0.3659710876132598,0.2671301524628856
0.775,0.3673358940152721,0.2684262285860758
0.78,0.36869080784943525,0.2697149944375131
0.785,0.3700358789820161,0.2709964636872705
0.79,0.3713711851233571,0.27227065122352895
0.795,0.372696797493789,0.2735375751774699
0.8,0.3740127657539709,0.2747972697985945
0.805,0.3753191677915055,0.2760497439648637
0.81,0.37661607267491487,0.27729500900067067
0.815,0.3779035309549883,0.2785330550033504
0.82,0.37918161779875603,0.2797638707234482
0.825,0.38045040130120644,0.28098743991421105
0.83,0.38170993161356004,0.2822037196051187
0.835,0.3829602827486673,0.28341270083852843
0.84,0.38420152187460666,0.28461437441821547
0.845,0.3854336986402818,0.2858087058875312
0.85,0.38665688591049757,0.2869956933598361
0.855,0.38787114992513244,0.2881753343778076
0.86,0.38907653983461654,0.2893476021683664
0.865,0.3902731273712195,0.2905125011669868
0.87,0.391460977840104,0.2916700349393622
0.875,0.39264013988685925,0.29282018363626033
