t,phase_1,phase_2
0.0,0.0,0.0
0.005,0.0,0.0027176
0.01,0.0,0.0054296
0.015,0.0,0.0081738
0.02,0.0,0.010904
0.025,0.0,0.013596
0.03,0.0,0.0162476
0.035,0.0,0.0189298
0.04,0.0,0.0215442
0.045,0.0,0.0242088
0.05,0.0,0.0268078
0.055,0.0,0.0294134
0.06,0.0,0.0319748
0.065,0.0,0.034526
0.07,0.0,0.037083
0.075,0.0,0.039648
0.08,0.0,0.0421854
0.085,0.0,0.0447472
0.09,0.0,0.0472658
0.095,0.0,0.049775
0.1,0.0,0.0521922
0.105,0.0,0.0546136
0.11,0.0,0.0570324
0.115,0.0,0.0595104
0.12,0.0,0.0619444
0.125,0.0,0.064416
0.13,0.0,0.0668314
0.135,0.0,0.0692638
0.14,0.0,0.0716514
0.145,0.0,0.0740504
0.15,0.0,0.0764182
0.155,0.0,0.0787776
0.16,0.0,0.081146
0.165,0.0,0.083467
0.17,0.0,0.0857428
0.175,0.0,0.0880784
0.18,0.0,0.0903332
0.185,0.0,0.092613
0.19,0.0,0.094945
0.195,0.0,0.0972096
0.2,0.0,0.0994638
0.205,0.0,0.1016962
0.21,0.0,0.1038618
0.215,0.0,0.1061114
0.22,0.0,0.108257
0.225,0.0,0.1104374
0.23,0.0,0.1126568
0.235,0.0,0.1148062
0.24,0.0,0.117023
0.245,0.0,0.1191474
0.25,0.0,0.1212834
0.255,0.0,0.1234784
0.26,0.0,0.1256122
0.265,0.0,0.127682
0.27,0.0,0.129828
0.275,0.0,0.1319736
0.28,0.0,0.134042
0.285,0.0,0.1361096
0.29,0.0,0.1381232
0.295,0.0,0.140182
0.3,0.0,0.142256
0.305,0.0,0.1443232
0.31,0.0,0.1463238
0.315,0.0,0.1482876
0.32,0.0,0.1502972
0.325,0.0,0.1522564
0.33,0.0,0.1542676
0.335,0.0,0.1562594
0.34,0.0,0.1582762
0.345,0.0,0.1602442
0.35,0.0,0.1621608
0.355,0.0,0.16408
0.36,0.0,0.1660104
0.365,0.0,0.1679284
0.37,0.0,0.169843
0.375,0.0,0.1717248
0.38,0.0,0.1735424
0.385,0.0,0.175412
0.39,0.0,0.1772566
0.395,0.0,0.179166
0.4,0.0,0.1810478
0.405,0.0,0.1828722
0.41,0.0,0.1846816
0.415,0.0,0.1865112
0.42,0.0,0.1883428
0.425,0.0,0.190135
0.43,0.0,0.1919774
0.435,0.0,0.193787
0.44,0.0,0.195586
0.445,0.0,0.1973654
0.45,0.0,0.1991284
0.455,0.0,0.2008326
0.46,0.0,0.202557
0.465,0.0,0.2043088
0.47,0.0,0.206058
0.475,0.0,0.207772
0.48,0.0,0.209506
0.485,0.0,0.2111936
0.49,0.0,0.212888
0.495,0.0,0.2145536
0.5,0.0,0.216205
0.505,0.0,0.21792
0.51,0.0,0.2195766
0.515,0.0,0.2212144
0.52,0.0,0.222922
0.525,0.0,0.224546
0.53,0.0,0.2262172
0.535,0.0,0.227853
0.54,0.0,0.2294932
0.545,0.0,0.2311118
0.55,0.0,0.2327558
0.555,0.0,0.2344148
0.56,0.0,0.2360328
0.565,0.0,0.2376434
0.57,0.0,0.2391976
0.575,0.0,0.240806
0.58,0.0,0.2424326
0.585,0.0,0.2440382
0.59,0.0,0.2456168
0.595,0.0,0.247183
0.6,0.0,0.2487398
0.605,0.0,0.2502536
0.61,0.0,0.2517658
0.615,0.0,0.2532944
0.62,0.0,0.254794
0.625,0.0,0.2563122
0.63,0.0,0.257775
0.635,0.0,0.259274
0.64,0.0,0.2607698
0.645,0.0,0.2622676
0.65,0.0,0.2637464
0.655,0.0,0.265278
0.66,0.0,0.2667454
0.665,0.0,0.2682262
0.67,0.0,0.269697
0.675,0.0,0.271141
0.68,0.0,0.2726272
0.685,0.0,0.2740308
0.69,0.0,0.2754598
0.695,0.0,0.2769256
0.7,0.0,0.2783722
0.705,0.0,0.2798428
0.71,0.0,0.2812376
0.715,0.0,0.2826104
0.72,0.0,0.2839978
0.725,0.0,0.2853812
0.73,0.0,0.2867422
0.735,0.0,0.2881138
0.74,0.0,0.2895122
0.745,0.0,0.290888
0.75,0.0,0.2922312
0.755,0.0,0.2935966
0.76,0.0,0.2949376
0.765,0.0,0.2962814
0.77,0.0,0.2975946
0.775,0.0,0.2989638
0.78,0.0,0.3002894
0.785,0.0,0.301627
0.79,0.0,0.3029502
0.795,0.0,0.3042598
0.8,0.0,0.3055816
0.805,0.0,0.3068292
0.81,0.0,0.3081454
0.815,0.0,0.3094364
0.82,0.0,0.3107328
0.825,0.0,0.3120014
0.83,0.0,0.3132448
0.835,0.0,0.314478
0.84,0.0,0.315713
0.845,0.0,0.3169886
0.85,0.0,0.3182306
0.855,0.0,0.319447
0.86,0.0,0.3206988
0.865,0.0,0.3219534
0.87,0.0,0.323167
0.875,0.0,0.3243982
0.88,0.0,0.3256132
0.885,0.0,0.3268168
0.89,0.0,0.3280348
0.895,0.0,0.3292122
0.9,0.0,0.330425
0.905,0.0,0.3315862
0.91,0.0,0.3327646
0.915,0.0,0.333951
0.92,0.0,0.3351442
0.925,0.0,0.3363148
0.93,0.0,0.337471
0.935,0.0,0.3386238
0.94,0.0,0.3397966
0.945,0.0,0.3409362
0.95,0.0,0.3420814
0.955,0.0,0.3432184
0.96,0.0,0.3443404
0.965,0.0,0.3454616
0.97,0.0,0.346571
0.975,0.0,0.34769
0.98,0.0,0.3488212
0.985,0.0,0.3499006
0.99,0.0,0.351028
0.995,0.0,0.3520936
1.0,0.332244,0.3532134
1.005,0.3331552,0.3542866
1.01,0.3340678,0.3553792
1.015,0.3349754,0.3564632
1.02,0.3358832,0.357533
1.025,0.3367522,0.3586178
1.03,0.3376136,0.3596892
1.035,0.3384844,0.3607748
1.04,0.3393476,0.3618418
1.045,0.3402236,0.362862
