t,phase_2,phase_1
0.0,0.00017704354726912218,1.3177910458986504e-10
0.005,0.0006845555171908543,5.610092528911557e-10
0.01,0.0014894077731808578,8.812185507350384e-10
0.015,0.002561309598503243,9.993862453431157e-10
0.02,0.0038725526693696136,1.0972347234890123e-9
0.025,0.0053977819674529874,1.375856170839761e-9
0.03,0.007113789663491235,1.9196050478565122e-9
0.035,0.008999329556477717,2.6936352699496864e-9
0.04,0.011034950002761394,3.605178876655663e-9
0.045,0.013202843498196977,4.567104240701189e-9
0.05,0.01548671123803741,5.533857962075917e-9
0.055,0.017871641107039194,6.506364407509e-9
0.06,0.020343997665679705,7.516485406463007e-9
0.065,0.022891322807488745,8.604909273528817e-9
0.07,0.025502245871341773,9.803213505713552e-9
0.075,0.028166402101725278,1.1125415152662697e-8
0.08,0.030874358458248964,1.2569326251513764e-8
0.085,0.0336175458811494,1.4124784548545726e-8
0.09,0.03638819722030933,1.578456711103341e-8
0.095,0.039179290129873263,1.7554114731520897e-8
0.1,0.041984494317854504,1.9457445828399906e-8
0.105,0.04479812261970489,2.153818482397067e-8
0.11,0.047615085436612706,2.3856000350849807e-8
0.115,0.05043084814360317,2.647968283761903e-8
0.12,0.0532413911298583,2.9478520994857562e-8
0.125,0.056043172184675825,3.291363255179849e-8
0.13,0.0588330909877974,3.683061024982111e-8
0.135,0.06160845550305073,4.1254419887079386e-8
0.14,0.06436695010988011,4.6187068127899266e-8
0.145,0.06710660533878567,5.160823074595294e-8
0.15,0.06982576910425282,5.7478830256629635e-8
0.155,0.07252307935263626,6.374746284913368e-8
0.16,0.0751974380628112,7.035955508619033e-8
0.165,0.0778479865543216,7.726912589187685e-8
0.17,0.08047408207133833,8.445298872478573e-8
0.175,0.08307527562110283,9.192711997441827e-8
0.18,0.0856512910528222,9.976473444629906e-8
0.185,0.08820200536740137,1.0811536459087242e-7
0.19,0.09072743025020318,1.172239751678979e-7
0.195,0.09322769481852895,1.2744891052232986e-7
0.2,0.09570302957307349,1.3927732171085754e-7
0.205,0.09815375153862511,1.533367022691632e-7
0.21,0.10058025057417574,1.7040130553829443e-7
0.215,0.10298297682679809,1.91392532448614e-7
0.22,0.10536242929755091,2.1737285132988507e-7
0.225,0.10771914548166428,2.495334019934837e-7
0.23,0.1100536920396694,2.8917608691953324e-7
0.235,0.11236665645124784,3.376915920611442e-7
0.24,0.11465863959958801,3.9653533333399725e-7
0.245,0.1169302492310935,4.6720372154127375e-7
0.25,0.11918209423345143,5.512133205227538e-7
0.255,0.12141477967433732,6.500854028556799e-7
0.26,0.12362890254334179,7.653380716113298e-7
0.265,0.12582504814093526,8.984875297376421e-7
0.27,0.12800378706028365,1.0510592817933397e-6
0.275,0.13016567271030227,1.2246091107689851e-6
0.28,0.13231123933128724,1.4207526685762383e-6
0.285,0.13444100045759144,1.641201546567123e-6
0.29,0.13655544778492182,1.8878028487250616e-6
0.295,0.13865505040275938,2.162578665826869e-6
0.3,0.1407402543549998,2.4677615203251455e-6
0.305,0.14281148249408196,2.805821874463133e-6
0.31,0.14486913459554976,3.179484197083732e-6
0.315,0.14691358770116314,3.5917288670194077e-6
0.32,0.14894519665936032,4.04577832161126e-6
0.325,0.15096429483213616,4.54506727787668e-6
0.33,0.1529711949373402,5.0931984762600905e-6
0.335,0.15496618999513148,5.693887118653064e-6
0.34,0.15694955434700147,6.350898877756145e-6
0.345,0.15892154471554107,7.067987924414167e-6
0.35,0.16088240127313672,7.848842738739555e-6
0.355,0.1628323486881807,8.697048438068762e-6
0.36,0.16477159711830047,9.61607488880765e-6
0.365,0.16670034312165988,1.060929991492816e-5
0.37,0.16861877045963675,1.1680076447881706e-5
0.375,0.17052705076718339,1.283185148814931e-5
0.38,0.17242534407093374,1.4068343306170259e-5
0.385,0.1743137991396055,1.5393781467741673e-5
0.39,0.17619255365638603,1.681321211967019e-5
0.395,0.1780617342086893,1.8332868627112976e-5
0.4,0.17992145609678925,1.9960605238603547e-5
0.405,0.18177182296921401,2.1706389095893866e-5
0.41,0.1836129262992435,2.3582843726493245e-5
0.415,0.18544484472319742,2.5605835267865147e-5
0.42,0.18726764326722814,2.7795091165463993e-5
0.425,0.1890813724948463,3.0174840028113603e-5
0.43,0.19088606761221616,3.277446075129875e-5
0.435,0.1926817475721863,3.562912893731108e-5
0.44,0.19446841422091957,3.878044902580088e-5
0.445,0.19624605153273167,4.2277061343855534e-5
0.45,0.19801462497924482,4.617521441141265e-5
0.455,0.19977408107816116,5.053929419554604e-5
0.46,0.2015243471648435,5.544230348355146e-5
0.465,0.20326533142647535,6.096628602297817e-5
0.47,0.20499692323392688,6.72026914442353e-5
0.475,0.20671899380066883,7.425267813826896e-5
0.48,0.20843139719128936,8.222735212917815e-5
0.485,0.21013397169453638,9.124794050827501e-5
0.49,0.2118265415675225,0.00010144589816458386
0.495,0.21350891914899003,0.00011296294637627033
0.5,0.21518090733056616,0.00012595104137603177
0.505,0.21684230236596724,0.0001405722703669089
0.51,0.21849289698936245,0.00015699867177358271
0.515,0.2201324838058079,0.0001754119759275809
0.52,0.22176085890901803,0.00019600326208406502
0.525,0.2233778256749477,0.00021897252784634102
0.53,0.22498319867388794,0.0002445281679268192
0.535,0.22657680763917246,0.00027288636088450724
0.54,0.22815850142726862,0.00030427036521141063
0.545,0.2297281519020662,0.0003389097300219015
0.55,0.23128565767562884,0.0003770394307131338
0.555,0.23283094763855028,0.00041889894633880025
0.56,0.23436398421534105,0.000464731303038589
0.565,0.23588476628390465,0.0005147821165880733
0.57,0.2373933317030661,0.0005692986768043455
0.575,0.23888975939817048,0.0006285291269157826
0.58,0.240374170961845,0.0006927218017666732
0.585,0.24184673173494853,0.000762124799503289
0.59,0.24330765134135152,0.0008369858717502179
0.595,0.24475718365930008,0.0009175527267656073
0.6,0.2461956262215362,0.001004073848168173
0.605,0.24762331904586743,0.0010967999380532246
0.61,0.24904064290731437,0.001195986097164718
0.615,0.2504480170721232,0.0013018948557975696
0.62,0.2518458965226356,0.0014148001668471187
0.625,0.2532347687100982,0.0015349924665431205
0.63,0.2546151498798221,0.0016627848986277766
0.635,0.25598758101954455,0.0017985207838824599
0.64,0.25735262348729526,0.0019425823989060189
0.645,0.25871085437945196,0.0020954011059502644
0.65,0.2600628617029251,0.0022574688496018475
0.655,0.26140923941751393,0.002429351006470881
0.66,0.26275058241541016,0.0026117005412403587
0.665,0.26408748150462225,0.002805273387003576
0.67,0.26542051846177583,0.0030109449304426507
0.675,0.2667502612173884,0.0032297274438520336
0.68,0.2680772592333836,0.003462788267145541
0.685,0.2694020391284067,0.0037114685047276398
0.69,0.2707251006015257,0.003977301965426704
0.695,0.2720469126992747,0.004262034039565894
0.7,0.2733679104648372,0.004567640176668775
0.705,0.2746884920016096,0.004896343601208142
0.71,0.27600901597655464,0.0052506318831005315
0.715,0.27732979958178516,0.005633271965134154
0.72,0.27865111696583184,0.006047323241894353
0.725,0.27997319813916527,0.006496148284594402
0.73,0.28129622835187734,0.00698342081395736
0.735,0.28262034793507684,0.007513130539193171
0.74,0.28394565259161464,0.008089584505270366
0.745,0.2852721941163003,0.008717404623004786
0.75,0.28659998152087296,0.00940152109671366
0.755,0.28792898253469446,0.010147161511861114
0.76,0.28925912544848176,0.010959835399627174
0.765,0.29059030126541197,0.011845314155877749
0.77,0.2919223661216295,0.01280960625766092
0.775,0.2932551439365589,0.01385892779003194
0.78,0.29458842925246537,0.014999668368537547
0.785,0.2959219902223835,0.01623835261680018
0.79,0.2972555717058219,0.017581597433008554
0.795,0.2985888984325015,0.019036065352382003
0.8,0.29992167819575366,0.020608414383469966
