DG,Unif,QBDRAP
-0.8930116047090163,-0.8930116047090163,-0.7852988681352323
-3.9507515410754186,-1.192671836161132,-1.179960187468262
-3.96578047708281,-1.3680643909286283,-1.4926926538563283
-3.9657812892928663,-1.4923373495460301,-1.7181856075971487
-3.9657815412397155,-1.588792915670929,-1.8928141282508364
-3.965781683282873,-1.6674872897753337,-2.0294092423602357
-3.965781772654047,-1.7340083056987083,-2.1392796117848225
-3.965781833217392,-1.791709453807073,-2.23060708317584
-3.9657818764928656,-1.8423726863839947,-2.3083791406616108
-3.965781908704045,-1.887749778256576,-2.376009443517042
-3.9657819334227593,-1.9287594875306318,-2.435616080329925
