DG,Order_1,QBDRAP
-2.94317714810166,-2.94317714810166,-2.6834928384641037
-5.148535620717307,-3.533859206514649,-3.4588606697286046
-5.1485356872785175,-3.871624316395613,-4.062847537919536
-5.148535687278518,-4.102967541386173,-4.452143719246199
-5.148535687278518,-4.27494161454778,-4.701728373524051
-5.148535687278518,-4.408042947983258,-4.852709998707044
-5.148535687278518,-4.514106512205544,-4.9420167874234116
-5.148535687278518,-4.6003614212355615,-4.995814485559776
-5.148535687278518,-4.6709210664607275,-5.029363265898085
-5.148535687278518,-4.729714689430883,-5.051192125610879
-5.148535687278518,-4.778995288300308,-5.066041758094983
