DG,Order_1,QBDRAP
-1.195510859633567,-1.195510859633567,-1.177886460464795
-6.790739663612114,-1.4952585064919692,-1.5368655691021695
-11.40452430811059,-1.6711375526707488,-1.8304706043609549
-11.475770851177149,-1.7959499423648888,-2.0604011391139294
-11.475079241949443,-1.892756364895321,-2.248271940558324
-11.475972778174581,-1.9718907202225275,-2.405224650324288
-11.47556901802287,-2.0388005928047503,-2.5393745593889245
-11.475129634579284,-2.096768841491598,-2.656264217525043
-11.476059347065464,-2.1478913921798224,-2.7596150477250365
-11.476470785113547,-2.1936372414912806,-2.8520882861854355
-11.47402234518931,-2.235015995261183,-2.935650159016172
