dg1,dg2,order13,qbdrap4
-0.6196328450219489,-0.6196328450219489,-0.6196328450219489,-0.6502433804704053
-2.5291629921629255,-1.645325935584644,-0.9963857114325798,-1.0253614562546833
-2.978532089555572,-1.4829632283493464,-1.1851248253529374,-1.3227220939331867
-3.0548525784777336,-1.6063324070126708,-1.315125332351407,-1.5582096519996584
-3.0744832577470134,-1.5069102422980318,-1.4144895511757334,-1.7500390453485026
-3.081874310414241,-1.5091929425419177,-1.4949907737897419,-1.9109354856086276
-3.081732540785522,-1.478682612280528,-1.5626935888121676,-2.0491402382978756
-3.0817124211227163,-1.4522084210145907,-1.6211288929879395,-2.17007262392048
-3.0817135635127744,-1.4470031691746803,-1.6725287265463833,-2.2777644941131387
-3.0816621906980854,-1.4396761818753196,-1.7184317861846725,-2.3744067026228284
-3.0816624493358407,-1.4363023059069011,-1.7599093631247236,-2.4593071805992297
