dg1,dg2,order13,qbdrap4
-0.6205674287683045,-0.6205674287683045,-0.6205674287683045,-0.6516316720386056
-2.5891256185894393,-1.6578114670781645,-0.999472247886414,-1.0286617599685342
-3.061326983421871,-1.4898325130514154,-1.1899007110612987,-1.3292918032360725
-3.0796301378952253,-1.6153367379845627,-1.321580271463111,-1.5695702630957495
-3.0828345112219715,-1.5153940885582389,-1.4226195702629192,-1.767697171559397
-3.089916297558514,-1.515990726669293,-1.5047953125262894,-1.9356561711779625
-3.090339708966619,-1.4870535838908137,-1.57417407026824,-2.07998495420524
-3.0912894925031145,-1.460150867264037,-1.634293914248871,-2.207651905940247
-3.0891832359660603,-1.4548503584423877,-1.6872558611116037,-2.322207630189255
-3.091565878080868,-1.4473908606492705,-1.7348022119356543,-2.427346411219791
-3.091319399376395,-1.4439568449878921,-1.777950238988885,-2.521897158333604
