dg1,dg2,order13,qbdrap4
-0.06956673311520406,-0.06956673311520406,-0.06956673311520406,-0.1280108339325141
-2.0605431115191366,-1.52084713531523,-0.5142702642825362,-0.5619938061250822
-2.218824843245703,-1.3205890892437098,-0.7251981395087979,-0.8865392399014219
-2.2183248079447933,-1.4459510341479525,-0.8680008592562125,-1.1407054866323176
-2.217441347094408,-1.3567776589071057,-0.976920840714109,-1.3494592442860287
-2.217905939181671,-1.3506824683483496,-1.0654060753149437,-1.5293455526478383
-2.2177833457467897,-1.3292149016130628,-1.1401892067083779,-1.6905984341881317
-2.217743546502181,-1.314251487998974,-1.2051513834624783,-1.8401370851685706
-2.2178090950514147,-1.3136258761425983,-1.2627150442861519,-1.9824091741143162
-2.2177720878829343,-1.3079836254134618,-1.3145159042559167,-2.1201795037667677
-2.217775057522417,-1.3059901508171803,-1.3616986280612822,-2.2573302352199875
