dg1,dg2,order13,qbdrap4
-0.618694564284795,-0.618694564284795,-0.618694564284795,-0.6488058823638838
-2.4105418612593126,-1.6335478666889276,-0.9932024233608585,-1.0219593947438834
-2.696316619928003,-1.4761598242866296,-1.1802185465714563,-1.3160009985917764
-2.718259573641226,-1.5970050330295935,-1.3085198996253633,-1.5466499436272574
-2.719359751271568,-1.4982975449924045,-1.4062020792867365,-1.7321774243347507
-2.7213871734466597,-1.5005167466784795,-1.4850154301060563,-1.8849071334526388
-2.7223949753616474,-1.4706086533352527,-1.551019422372641,-2.0135872044242458
-2.7233891034401654,-1.4446077924316303,-1.6077998340277477,-2.123371437175559
-2.723993690765663,-1.439492537290276,-1.6575731125498132,-2.216004300054007
-2.724358661999401,-1.4322900806836154,-1.7018402384043014,-2.295219319485379
-2.724343422882797,-1.4289729695610751,-1.74168565135523,-2.366627513672461
