dg1,dg2,order13,qbdrap4
-0.06752815410494381,-0.06752815410494381,-0.06752815410494381,-0.12521151066494327
-1.8315217195836513,-1.4822149409835719,-0.5073085344355132,-0.5541675278648645
-1.9142030857127057,-1.298832523788367,-0.7138167991402614,-0.8701331838237938
-1.9134157314705127,-1.4118025314225673,-0.8521231704963408,-1.1116275279442964
-1.9129698643169166,-1.3293279173421564,-0.956515640712871,-1.3033598789509295
-1.9132084696853646,-1.3238202200325326,-1.0404426450026456,-1.46143491564261
-1.9131454740353677,-1.3037038929743086,-1.1106432031939502,-1.5954769621965046
-1.9131252967636876,-1.2895558090386783,-1.1709770843514715,-1.7111974116973707
-1.9131588296666864,-1.28872773522271,-1.223878980349859,-1.8126949723402492
-1.9131399058046539,-1.283457634878786,-1.2709787873683442,-1.9034011519534288
-1.913141425286076,-1.2816485936786162,-1.3134212426976122,-1.974505063510079
