dg1,dg2,order13,qbdrap4
-0.9468225580710983,-0.9468225580710983,-0.9468225580710983,-1.1094737208794907
-5.517963135845742,-3.632614687129487,-1.8943022668967366,-1.9873594905762486
-6.362817016306303,-3.2426479327431177,-2.3303360220506706,-2.655789091015409
-6.397872956654917,-3.495143353371957,-2.6246663718354717,-3.1784168850455354
-6.401607796243836,-3.2987591901025177,-2.8495486669691568,-3.61157867586205
-6.401963115756804,-3.294917290255799,-3.0328577909376273,-3.9855743842049254
-6.400866289356535,-3.245174706579132,-3.188421660104831,-4.316637862508843
-6.400818073773908,-3.2077474492351508,-3.3240757551710347,-4.602910794132786
-6.400876132633821,-3.2045743850104436,-3.444733140976672,-4.842710292045861
-6.400933055289869,-3.1893640747921976,-3.55339651929522,-5.048238741017732
-6.400933543861974,-3.185374070530108,-3.6525037946488013,-5.230119797355403
