dg1,dg2,order13,qbdrap4
-0.6113110513796699,-0.6113110513796699,-0.6113110513796699,-0.5974682118028565
-2.7449285229708233,-1.765445729250386,-1.315461892525008,-1.4668666968256534
-2.9970225268424135,-1.690192405669591,-1.6616031140933545,-2.013990345141674
-3.16392775949793,-1.651069006907191,-1.8848909849137059,-2.3609087183042297
-3.283769042656651,-1.6350482882186248,-2.0449895664103637,-2.5916467316517267
-3.37700959934027,-1.638018409055966,-2.1668668867856518,-2.7539064690475707
-3.4588097515153087,-1.6347731367012053,-2.263425140659048,-2.8747061013378308
-3.524465014367491,-1.6298769958942965,-2.342187023456963,-2.9692738633082696
-3.5833366733808116,-1.6284929095111744,-2.407899723021238,-3.0463789303476534
-3.636789344388386,-1.620573472558697,-2.4637315134694986,-3.111276330374006
-3.6825900155327793,-1.6283518151466483,-2.511887721167582,-3.1672637693670165
