dg1,dg2,order13,qbdrap4
-0.6140154183699065,-0.6140154183699065,-0.6140154183699065,-0.6001508966933777
-2.7477408992369696,-1.7690380714710063,-1.3215519188283524,-1.473661615631513
-2.998624431061089,-1.69270855650327,-1.6703899452885036,-2.025718017546868
-3.165691741696993,-1.6529904455802775,-1.8956897687376422,-2.3763694351512266
-3.284922457911987,-1.6366564111761095,-2.057417112558811,-2.609282969649258
-3.3783985307789606,-1.6394773758251033,-2.1805346922852062,-2.772635410705403
-3.4599145739476707,-1.6361450040033,-2.278025673738565,-2.8935442493998416
-3.5253828240358565,-1.6311953193921143,-2.3574700595900913,-2.988012144848776
-3.5844460374495832,-1.6297720622605947,-2.423629881702292,-3.0648186601467837
-3.637669356557258,-1.621804639439888,-2.479701026966382,-3.129423391334935
-3.683376979128115,-1.6295823137621654,-2.5280080019702575,-3.184875233479047
