x,phase_1,phase_2
0.0,0.0,0.0
0.001,0.0002798,0.0002932
0.002,0.0005678,0.0005992
0.003,0.0008722,0.0008836
0.004,0.0011456,0.0011838
0.005,0.001447,0.0014604
0.006,0.0017618,0.001742
0.007,0.0020422,0.0020366
0.008,0.0023432,0.0023388
0.009,0.0026354,0.0026438
0.01,0.0029282,0.0029342
0.011,0.003217,0.0032158
0.012,0.0035024,0.0035012
0.013,0.0037962,0.003812
0.014,0.0040836,0.0041088
0.015,0.0043854,0.004404
0.016,0.004686,0.0046844
0.017,0.0049814,0.0049652
0.018,0.0052806,0.0052616
0.019,0.005576,0.0055574
0.02,0.0058682,0.0058394
0.021,0.0061578,0.0061254
0.022,0.0064364,0.0064188
0.023,0.0067482,0.0067056
0.024,0.0070312,0.0069876
0.025,0.0073378,0.007276
0.026,0.007632,0.0075612
0.027,0.00792,0.007843
0.028,0.0082332,0.0081348
0.029,0.0085238,0.0084038
0.03,0.008819,0.008687
0.031,0.0091198,0.008985
0.032,0.0093954,0.0092986
0.033,0.0096762,0.0095778
0.034,0.0099504,0.0098622
0.035,0.0102428,0.0101432
0.036,0.0105204,0.010425
0.037,0.0108112,0.010703
0.038,0.011094,0.010981
0.039,0.011376,0.0112798
0.04,0.0116804,0.0115684
0.041,0.0119788,0.0118544
0.042,0.0122812,0.0121492
0.043,0.012572,0.0124566
0.044,0.0128654,0.01272
0.045,0.0131564,0.0130176
0.046,0.0134384,0.0132936
0.047,0.013755,0.01358
0.048,0.0140322,0.0138706
0.049,0.0142904,0.0141306
0.05,0.014589,0.0144152
0.051,0.0148732,0.0146962
0.052,0.0151644,0.0150012
0.053,0.0154474,0.015288
0.054,0.0157296,0.0155506
0.055,0.0160282,0.0158508
0.056,0.0163234,0.0161348
0.057,0.016612,0.0164166
0.058,0.0169098,0.0166844
0.059,0.0172146,0.0169722
0.06,0.0175064,0.0172486
0.061,0.017785,0.0175368
0.062,0.0180762,0.0178098
0.063,0.0183654,0.018105
0.064,0.0186466,0.0183854
0.065,0.0189412,0.0186596
0.066,0.0192194,0.018937
0.067,0.0195052,0.0192274
0.068,0.019791,0.0195106
0.069,0.0200722,0.019808
0.07,0.0203754,0.020074
0.071,0.0206686,0.0203566
0.072,0.0209416,0.0206266
0.073,0.0212254,0.0209208
0.074,0.0215302,0.021215
0.075,0.02182,0.0215084
0.076,0.022106,0.0217842
0.077,0.0224,0.022068
0.078,0.0227042,0.022361
0.079,0.0230058,0.0226416
0.08,0.0232884,0.0229432
0.081,0.0235694,0.0232284
0.082,0.02386,0.0235048
0.083,0.0241524,0.0237906
0.084,0.0244336,0.02407
0.085,0.0247188,0.0243542
0.086,0.0250118,0.0246428
0.087,0.0252982,0.0249256
0.088,0.0255876,0.0251992
0.089,0.0258736,0.0254774
0.09,0.0261518,0.0257602
0.091,0.0264462,0.02604
0.092,0.0267454,0.026309
0.093,0.0270304,0.02658
0.094,0.0273016,0.0268594
0.095,0.0275868,0.027143
0.096,0.0278708,0.0274182
0.097,0.0281624,0.027699
0.098,0.0284444,0.0279654
0.099,0.0287326,0.0282318
0.1,0.0290202,0.0285338
0.101,0.0293028,0.0288268
0.102,0.029594,0.0291108
0.103,0.0299046,0.0293772
0.104,0.030194,0.0296684
0.105,0.0304756,0.0299488
0.106,0.030766,0.0302086
0.107,0.0310662,0.0305036
0.108,0.0313748,0.0307566
0.109,0.031655,0.0310204
0.11,0.031963,0.0312928
0.111,0.0322636,0.0315796
0.112,0.0325562,0.031862
0.113,0.032855,0.0321284
0.114,0.0331622,0.0324078
0.115,0.0334632,0.0326768
0.116,0.0337518,0.0329686
0.117,0.0340554,0.0332378
0.118,0.0343566,0.0335296
0.119,0.0346424,0.0337908
0.12,0.034911,0.0340698
0.121,0.0352004,0.0343444
0.122,0.0354936,0.0346338
0.123,0.0357802,0.034914
0.124,0.0360852,0.035199
0.125,0.0363814,0.0354678
0.126,0.036682,0.0357598
0.127,0.036963,0.036032
0.128,0.0372464,0.036311
0.129,0.0375266,0.0366018
0.13,0.0378084,0.0368854
0.131,0.0381062,0.0371706
0.132,0.0384018,0.037453
0.133,0.0386914,0.037741
0.134,0.0389886,0.038001
0.135,0.039284,0.038263
0.136,0.0395782,0.0385512
0.137,0.039869,0.0388328
0.138,0.0401692,0.0391038
0.139,0.0404662,0.039391
0.14,0.040768,0.0396878
0.141,0.0410606,0.0399802
0.142,0.041348,0.0402546
0.143,0.0416502,0.0405316
0.144,0.041937,0.0408106
0.145,0.0422326,0.0410942
0.146,0.0425218,0.0413718
0.147,0.0428132,0.0416628
0.148,0.0431232,0.0419428
0.149,0.0434168,0.0422114
0.15,0.0437046,0.0424806
0.151,0.043982,0.0427488
0.152,0.044273,0.0430242
0.153,0.0445586,0.043291
0.154,0.0448398,0.0435598
0.155,0.0451456,0.043835
0.156,0.0454594,0.0440976
0.157,0.045743,0.0443796
0.158,0.0460308,0.0446258
0.159,0.0463132,0.0448942
0.16,0.0466072,0.045165
0.161,0.0469132,0.0454434
0.162,0.0471938,0.045724
