x,phase_1,phase_2
0.0,0.0,0.0
0.001,0.0002884,0.0002928
0.002,0.0005868,0.0005862
0.003,0.0008798,0.000866
0.004,0.0011636,0.0011618
0.005,0.0014564,0.0014472
0.006,0.0017608,0.001729
0.007,0.0020498,0.0020228
0.008,0.002346,0.0023196
0.009,0.0026322,0.0026288
0.01,0.0029208,0.0029316
0.011,0.003216,0.0032178
0.012,0.003503,0.0035126
0.013,0.0037958,0.0038116
0.014,0.004091,0.004096
0.015,0.0043828,0.0043814
0.016,0.0046776,0.004666
0.017,0.0049678,0.0049528
0.018,0.0052512,0.0052412
0.019,0.0055388,0.005525
0.02,0.0058224,0.0058096
0.021,0.0061094,0.0060852
0.022,0.006394,0.0063698
0.023,0.0066854,0.006651
0.024,0.0069654,0.006938
0.025,0.0072638,0.007224
0.026,0.007549,0.0075154
0.027,0.007841,0.007803
0.028,0.0081366,0.0080872
0.029,0.008422,0.0083742
0.03,0.0087176,0.0086528
0.031,0.0090064,0.0089486
0.032,0.0092906,0.0092528
0.033,0.0095696,0.009534
0.034,0.009846,0.0098162
0.035,0.0101406,0.0101066
0.036,0.0104242,0.0103892
0.037,0.0107204,0.010678
0.038,0.011001,0.0109714
0.039,0.011291,0.0112648
0.04,0.011586,0.0115478
0.041,0.0118858,0.0118326
0.042,0.0121902,0.0121302
0.043,0.0124808,0.0124366
0.044,0.0127734,0.0127076
0.045,0.0130616,0.013002
0.046,0.0133512,0.0132874
0.047,0.0136628,0.0135744
0.048,0.0139396,0.0138634
0.049,0.0142204,0.014142
0.05,0.0145152,0.0144256
0.051,0.014796,0.0147024
0.052,0.0151014,0.0150002
0.053,0.0153886,0.0152824
0.054,0.0156782,0.0155644
0.055,0.0159676,0.0158594
0.056,0.0162614,0.016143
0.057,0.0165448,0.0164216
0.058,0.0168336,0.0167
0.059,0.0171348,0.0169832
0.06,0.017421,0.0172636
0.061,0.0177014,0.017548
0.062,0.0180004,0.0178316
0.063,0.0182988,0.0181184
0.064,0.0185814,0.0184038
0.065,0.0188744,0.01869
0.066,0.0191544,0.018963
0.067,0.019446,0.0192536
0.068,0.0197316,0.0195414
0.069,0.0200092,0.0198286
0.07,0.0203044,0.0201064
0.071,0.0205942,0.020389
0.072,0.0208726,0.020659
0.073,0.021161,0.0209436
0.074,0.0214632,0.0212358
0.075,0.0217522,0.0215214
0.076,0.02204,0.021801
0.077,0.0223316,0.0220924
0.078,0.0226266,0.02238
0.079,0.0229288,0.0226616
0.08,0.023211,0.0229618
0.081,0.0235006,0.023249
0.082,0.0237928,0.023528
0.083,0.0240846,0.0238154
0.084,0.0243596,0.0240898
0.085,0.024654,0.0243714
0.086,0.0249542,0.0246592
0.087,0.0252422,0.0249356
0.088,0.0255356,0.0252114
0.089,0.0258312,0.0254926
0.09,0.0261132,0.02577
0.091,0.0264106,0.0260508
0.092,0.0267008,0.0263298
0.093,0.0269858,0.0266082
0.094,0.0272724,0.0268912
0.095,0.0275724,0.0271752
0.096,0.0278624,0.0274564
0.097,0.0281578,0.0277318
0.098,0.02845,0.0280004
0.099,0.0287468,0.0282798
0.1,0.02904,0.0285702
0.101,0.029325,0.028863
0.102,0.029617,0.0291514
0.103,0.0299254,0.0294222
0.104,0.030222,0.0297066
0.105,0.0305166,0.0299968
0.106,0.0308016,0.0302634
0.107,0.031102,0.03056
0.108,0.0313968,0.0308192
0.109,0.0316834,0.0310934
0.11,0.0319792,0.0313686
0.111,0.0322634,0.031648
0.112,0.032552,0.0319216
0.113,0.0328482,0.0321898
0.114,0.0331386,0.0324828
0.115,0.0334278,0.0327526
0.116,0.0337112,0.0330348
0.117,0.0340062,0.0333076
0.118,0.034309,0.03359
0.119,0.0345934,0.0338602
0.12,0.0348702,0.0341414
0.121,0.035162,0.0344172
0.122,0.035449,0.0346984
0.123,0.0357328,0.0349798
0.124,0.0360348,0.0352544
0.125,0.0363394,0.0355326
0.126,0.036631,0.035828
0.127,0.0369276,0.0361094
0.128,0.0372194,0.0363872
0.129,0.0375084,0.0366644
0.13,0.0377928,0.0369416
0.131,0.0380988,0.0372252
0.132,0.0383908,0.0375026
0.133,0.038684,0.0377864
0.134,0.0389796,0.0380482
0.135,0.0392568,0.0383232
0.136,0.0395434,0.038608
0.137,0.0398214,0.0389006
0.138,0.0401216,0.039176
0.139,0.040421,0.0394572
0.14,0.040715,0.0397422
0.141,0.041016,0.0400294
0.142,0.0413058,0.0403032
0.143,0.0416046,0.0405826
0.144,0.041905,0.0408648
0.145,0.0422082,0.0411496
0.146,0.0424946,0.0414298
0.147,0.0427844,0.0417174
0.148,0.0430872,0.0420014
0.149,0.0433744,0.0422642
0.15,0.043671,0.0425336
0.151,0.0439504,0.0428122
0.152,0.0442488,0.0430882
0.153,0.0445394,0.0433588
0.154,0.0448302,0.0436336
0.155,0.045143,0.0439084
0.156,0.0454404,0.0441792
0.157,0.0457318,0.0444558
0.158,0.0460262,0.0447284
0.159,0.046316,0.0449944
0.16,0.0466178,0.0452692
0.161,0.046914,0.0455508
0.162,0.0471912,0.0458364
0.163,0.047491,0.04611
0.164,0.047784,0.046391
0.165,0.048061,0.046658
0.166,0.0483544,0.0469328
0.167,0.0486446,0.0472048
0.168,0.0489408,0.0474896
0.169,0.0492296,0.047767
0.17,0.0495226,0.0480368
0.171,0.049812,0.0483188
0.172,0.0501104,0.048591
0.173,0.0504034,0.0488736
0.174,0.0507034,0.0491414
0.175,0.0509896,0.0494084
0.176,0.0512856,0.0496854
0.177,0.0515676,0.049965
0.178,0.0518688,0.050228
0.179,0.0521668,0.0504976
0.18,0.052463,0.0507838
0.181,0.0527656,0.051055
0.182,0.0530476,0.0513328
0.183,0.0533412,0.0516172
0.184,0.0536306,0.0519024
0.185,0.053922,0.052171
0.186,0.0542182,0.0524386
0.187,0.0545162,0.0527142
0.188,0.0548112,0.0529896
0.189,0.0551044,0.0532612
0.19,0.055395,0.0535276
0.191,0.0557004,0.0537986
