unnormalised,naive,normalised
-0.4619386095309807,-0.5933309497298387,-0.5933309497298387
-0.5693953468631696,-0.6230908777756087,-0.6227501137684337
-0.6908288499465178,-0.701430909442251,-0.7014288527190562
-0.8162859347525593,-0.8181359572903196,-0.8179964302219802
-0.9208097065970042,-0.9215184938547925,-0.9211993422366515
-1.0043423851314304,-1.0048252752215934,-1.004522035352254
-1.0771860002594842,-1.0775108825330852,-1.0773177805881948
-1.1390519728975679,-1.139275025417176,-1.139187675081288
-1.1937142703067978,-1.1938965299534243,-1.1938688706130214
-1.2426330132682388,-1.2428100353764815,-1.2428042602666627
-1.2863802900483963,-1.2865620694369304,-1.2865613385645296
