unnormalised,naive,normalised
-0.40508910285457717,-0.2544641652976862,-0.2544641652976862
-0.5286282189508851,-0.4501931622481334,-0.4453263678286091
-0.6805779989302065,-0.66713545585256,-0.6672906381840841
-0.8057033796083913,-0.8155972960156096,-0.8149875437719821
-0.9119393132948141,-0.9200012228629841,-0.9189217964640615
-0.9993676081847883,-1.0048959519593328,-1.0036999846458174
-1.0727596124516734,-1.0767944765135855,-1.0756766331362828
-1.1358822829796804,-1.1387637047635812,-1.1378001209792483
-1.191209114315973,-1.1934452976712808,-1.192642572209248
-1.2404210053655365,-1.2421249431079362,-1.2414604052268208
-1.284713145829166,-1.286070663566571,-1.2855159055638512
