unnormalised,naive,normalised
0.06248690616268964,0.046555236414167665,0.046555236414167235
-0.05932054526790194,-0.14912176898049403,-0.1442571388947393
-0.20705469748470712,-0.36600904860830746,-0.3661641999667488
-0.336738564306294,-0.5144277084047523,-0.513818164459895
-0.4403672505545175,-0.6187928080518502,-0.6177138683707554
-0.5260261452566602,-0.69723600600432,-0.6964178349605599
-0.5984274054906428,-0.7616692209067679,-0.7609642039597633
-0.66079495632351,-0.8211642761854827,-0.8205559889557545
-0.7157018501338356,-0.875597323478618,-0.8750693426461325
-0.7645607266865895,-0.9243752921901114,-0.9239165053604004
-0.8086152505746893,-0.9683574266818245,-0.9679596909684322
