DG,Order_1,QBDRAP
-Inf,-Inf,-1.4215574432719233
-4.30107343160304,-16.328163084297284,-2.040300696828668
-4.301073441729361,-16.128491048339615,-1.9311017904720371
-4.30107345764078,-16.14601320910412,-2.1147661668867386
-4.301073479313451,-16.177779166788262,-2.309848960649014
-4.301073506686932,-15.84248550802552,-2.476833372077752
-4.301073539762482,-16.16749157097154,-2.618848307462335
-4.301073578514111,-16.137879153323883,-2.741827941270547
-4.301073622850166,-16.156600277297816,-2.850105623259149
-4.3010736727668615,-16.12511814281478,-2.946737330349757
-4.301073728190414,-16.693482690187217,-3.033928688732821
