DG,Unif,QBDRAP
-0.4739480972820411,-0.4739480972820411,-0.41335077942630066
-1.9428396529860312,-1.086133223788666,-0.6270708086883452
-3.4180573161208745,-1.450644327851038,-0.8598572141138933
-3.655980137581692,-1.7077978089283123,-1.0517335464495143
-3.6566237279867573,-1.9062807371621184,-1.2110784468589533
-3.6567290618110992,-2.0678638141180725,-1.3455981575685383
-3.657045639791304,-2.204109085492172,-1.4613246157705557
-3.657512193598374,-2.321883630586209,-1.5625823492742443
-3.658097037390852,-2.425596621216356,-1.6524219595193332
-3.6587880428197224,-2.518247726481889,-1.7330307167142098
-3.6595671017574887,-2.6019681403394257,-1.8060304833616523
