DG,Unif,QBDRAP
-0.1961199341810106,-0.1961199341810106,-0.1975685946679799
-0.21625150158358566,-0.24590094146432434,-0.19254184593450366
-0.4492690915352497,-0.41446074517629916,-0.18530176995240916
-1.0653555228202896,-0.5494698268984891,-0.1957794568277092
-1.938686805851941,-0.6549689099739058,-0.24434826172268986
-2.9106899874280203,-0.7407987905597048,-0.317765288029079
-3.0855312355758215,-0.8127166309569269,-0.4007369182745198
-3.0506646155868578,-0.8746941963920124,-0.4848111107601231
-3.020178155322064,-0.9290624980659155,-0.5666621888919423
-2.993688955166353,-0.9771633539188341,-0.6449906446087879
-2.9703694408302574,-1.020800950306873,-0.7192362169847422
