DG,Order_1,DG_limiter,QBDRAP
0.13186912292455313,0.13186912292455313,-0.08041064900652634,0.13116626886312793
-0.9503964683216618,-0.15484983853306603,-0.43839003771976065,-0.2890869578482459
-1.4344551252708857,-0.30068962296209567,-0.7003294659867586,-0.574918181396027
-1.8276174902992317,-0.40199452262808133,-0.916612321841432,-0.8009674971445856
-1.9148650194092893,-0.4808173473335906,-1.1045753684584374,-0.9907919827656071
-2.1489952032683646,-0.545892420408904,-1.2717788639944667,-1.1537732803659497
-2.2789280639757115,-0.6016125652715332,-1.4122414101449134,-1.2950909021392476
-2.3419027280135922,-0.6505139481763228,-1.5318214790459883,-1.4186640662010912
-2.522622187459321,-0.6942001926409879,-1.640060657705955,-1.5277943082366359
-2.551147316998941,-0.7337538577230046,-1.7310763815203245,-1.6251644775060068
-2.632359850739145,-0.7699418949796825,-1.8119530925677343,-1.7128665637491767
