DG,Unif,DG_limiter,QBDRAP,DG_lin_lim
-0.0027705575752111134,-0.0027705575752111134,-0.0027705575752111134,-0.0027677847878266712,-0.10369059066484153
-1.0054381289226386,-0.12547154893731935,-0.06105457380468566,-0.20612242979770587,-0.3437042384780398
-3.2005945470195454,-0.20966072273363667,-0.0590471102275922,-0.41482891606435085,-0.609814986098444
-3.676921786357292,-0.2774298399612189,-0.05876188789146332,-0.6070668731808584,-0.8792066595101483
-3.6726319177239937,-0.33490583316400635,-0.0582761025570936,-0.7755286277996729,-1.1304424976439025
-3.6748289170926673,-0.3850929948379159,-0.05811103164422652,-0.9223136234130528,-1.4039949483366636
-3.6768056171323784,-0.4297635006132153,-0.05767882131425016,-1.0512467067448874,-1.699087988476033
-3.676921822005503,-0.4700770443729751,-0.056300967696562274,-1.1655775237430757,-1.9920142485749346
-3.6762768363334977,-0.506845008046239,-0.05644547914237233,-1.2678826902230373,-2.2624739486967362
-3.6747702284467607,-0.5406623411085242,-0.05660268049879688,-1.3602021318735797,-2.4625423712555663
-3.675550083810078,-0.5719807813995448,-0.05664583385645095,-1.4441500269227951,-2.5799675160510365
