DG,Unif,DG_limiter,QBDRAP
-1.4618572883686245,-1.4618572883686245,-1.4618572883686245,-1.4203256004027567
-1.5223925988939657,-1.4877813936509028,-1.4997757444934607,-1.5110878569781876
-2.6295022309278093,-1.4975066882261443,-1.4940044943145059,-1.5241235377235007
-4.885525980241841,-1.5030487235129746,-1.494008811141727,-1.5458596759678869
-5.648820472166169,-1.506891611802716,-1.4936950998433862,-1.624796213729546
-6.193242364854983,-1.5102303737416387,-1.4934154193931783,-1.7468331201866318
-6.620202365002525,-1.5138802491910248,-1.493463098402242,-1.8896914260812048
-6.977968220474619,-1.5184068171621337,-1.4944383509719559,-2.0389917875148997
-7.283437524062347,-1.5241390238648633,-1.4938391996928986,-2.1871314760293634
-7.5516875931852745,-1.5311348973318113,-1.4933067917869982,-2.3304421946848914
-7.791155052832413,-1.5393943872642895,-1.4931168102878436,-2.467348464280809
