DG,DGₗ,QBDRAP
-0.008370216914286252,-0.008370216914286252,-0.01109709119213163
-1.2204432956618272,-0.1100093821672256,-0.2743309762546265
-2.0227020759304146,-0.10242468701970288,-0.5205866865343156
-2.125478410428662,-0.0991729445473381,-0.7243370103247082
-2.180537976537882,-0.09804016924192294,-0.8905139367437078
-2.2356640393220584,-0.09676642861695586,-1.0315051458495685
-2.2841652508790613,-0.09276786007935026,-1.1530248665269633
-2.330795440952653,-0.09471236408544942,-1.259114276244913
-2.370062166335746,-0.09315977039744176,-1.3527559962465419
-2.408905777904206,-0.0927124765946853,-1.4353661652909115
-2.442511513254199,-0.0929875185237997,-1.5088601787430642
