DG,Order_1,DG_limiter,QBDRAP
-0.5389059262356902,-0.5389059262356902,-0.5389059262356902,-0.5537977901854805
-1.9664927323447043,-0.7427376242267935,-1.1679423470181893,-0.8299036387769492
-2.8846343261760397,-0.8660945325506747,-1.5165282308711312,-1.0709303550281117
-2.884634326177703,-0.9552411752670973,-1.7522647462759877,-1.2755317059423772
-2.8846343261757807,-1.027397056046306,-1.9466478134409784,-1.448007365704154
-2.884634326175337,-1.0888270479242235,-2.097415011256417,-1.5972723193588159
-2.8846343261784053,-1.1418229388859673,-2.241511603058244,-1.728848416514796
-2.884634326179071,-1.188147057505771,-2.3543154494510783,-1.8463878723886553
-2.8846343261792557,-1.2301100309720325,-2.469992270731644,-1.9524676613759502
-2.8846343261796252,-1.2684513627296181,-2.5655888607247412,-2.0490032497263564
-2.884634326164986,-1.3031954007308695,-2.6516842770639397,-2.1374576407541133
